club,clubid,country,countrycode,governingbody,clubshortnames
SKN St. Pölten,f722bd04,Austria,AUT,UEFA,St. Pölten
Rovaniemen PS,4fea542b,Finland,FIN,UEFA,RoPS
Asteras Tripoli FC,d884c383,Greece,GRE,UEFA,Asteras Tripoli
HNK Hajduk Split,6777e16d,Croatia,CRO,UEFA,Hajduk Split
Esbjerg fB,31aa0dd4,Denmark,DEN,UEFA,Esbjerg
IF Elfsborg,50e85bfc,Sweden,SWE,UEFA,Elfsborg
Kardemir Karabükspor,30f3de93,Turkey,TUR,UEFA,Karabükspor
FC Chornomorets Odesa,cdd0bbb6,Ukraine,UKR,UEFA,Chornomorets
1. FSV Mainz 05,a224b06a,Germany,GER,UEFA,Mainz 05
Olympique Lyonnais,d53c0b06,France,FRA,UEFA,Lyon
Hull City AFC,bd8769d1,England,ENG,UEFA,Hull City
Torino FC,105360fe,Italy,ITA,UEFA,Torino
PSV Eindhoven,e334d850,Netherlands,NED,UEFA,PSV Eindhoven
Atromitos FC,c9607f44,Greece,GRE,UEFA,Atromitos
Real Sociedad,e31d1cd9,Spain,ESP,UEFA,Real Sociedad
FC Astra Giurgiu,12d53956,Romania,ROU,UEFA,Astra Giurgiu
FC Dynamo Moscow,541a280b,Russia,RUS,UEFA,Dynamo Mosc
Hapoel Ironi Kiryat Shmona FC,4b238d92,Israel,ISR,UEFA,Kiryat Shmona
BSC Young Boys,4b682260,Switzerland,SUI,UEFA,Young Boys
Ermis Aradippou,5ac58233,Cyprus,CYP,UEFA,Ermis Aradippou
FC Viktoria Plzeň,02cd81bf,Czech Republic,CZE,UEFA,Viktoria Plzeň
Rio Ave FC,eea856da,Portugal,POR,UEFA,Rio Ave
Club Brugge KV,f1e6c5f1,Belgium,BEL,UEFA,Club Brugge
Brøndby IF,ab75e049,Denmark,DEN,UEFA,Brøndby
Borussia Mönchengladbach,32f3ee20,Germany,GER,UEFA,M'gladbach
Apollon Limassol,8dff1828,Cyprus,CYP,UEFA,Apollon Limassol|Apollon
FC Lokomotiv Moscow,5a8dc328,Russia,RUS,UEFA,Loko Moscow
Villarreal CF,2a8183b3,Spain,ESP,UEFA,Villarreal
PEC Zwolle,e3db180b,Netherlands,NED,UEFA,Zwolle
FC Zürich,22a5a99c,Switzerland,SUI,UEFA,Zürich
Tottenham Hotspur FC,361ca564,England,ENG,UEFA,Tottenham
CD Nacional,5c9eb756,Portugal,POR,UEFA,Nacional
FC Twente,a1f721d3,Netherlands,NED,UEFA,Twente
SK Rapid Wien,912e4c40,Austria,AUT,UEFA,Rapid Wien
Trabzonspor,c8ad3091,Turkey,TUR,UEFA,Trabzonspor
FC Rostov,d60423ef,Russia,RUS,UEFA,Rostov
PAOK FC,5a5e7874,Greece,GRE,UEFA,PAOK
Sporting Lokeren,bada91db,Belgium,BEL,UEFA,Lokeren
FC Metalist Kharkiv,44ef020f,Ukraine,UKR,UEFA,Metalist Kharkiv
AS Saint-Étienne,d298ef2c,France,FRA,UEFA,Saint-Étienne
Internazionale,d609edc0,Italy,ITA,UEFA,Inter
FC Midtjylland,3c4fb635,Denmark,DEN,UEFA,Midtjylland
Everton FC,d3fd31cc,England,ENG,UEFA,Everton
Sevilla FC,ad2be733,Spain,ESP,UEFA,Sevilla
VfL Wolfsburg,4eaa11d7,Germany,GER,UEFA,Wolfsburg
Sporting CP,13dc44fd,Portugal,POR,UEFA,Sporting CP
AFC Ajax,19c3f8c4,Netherlands,NED,UEFA,Ajax
RSC Anderlecht,08ad393c,Belgium,BEL,UEFA,Anderlecht
Olympiacos FC,2fdb4aef,Greece,GRE,UEFA,Olympiacos
En Avant de Guingamp,d41b5f53,France,FRA,UEFA,Guingamp
FC Dynamo Kyiv,c734e22f,Ukraine,UKR,UEFA,Dynamo Kyiv
AS Roma,cf74a709,Italy,ITA,UEFA,Roma
Liverpool FC,822bd0ba,England,ENG,UEFA,Liverpool
ACF Fiorentina,421387cf,Italy,ITA,UEFA,Fiorentina
FK Vardar,5b47810a,North Macedonia,MKD,UEFA,FK Vardar
FK Rudar Pljevlja,fe8bc2a6,Montenegro,MNE,UEFA,FK Rudar Pljevlja
FC Dila Gori,ae098b55,Georgia,GEO,UEFA,FC Dila Gori
FC Milsami Orhei,7795f801,Moldova,MDA,UEFA,FC Milsami Orhei|Milsami
MOL Fehérvár FC,a338349f,Hungary,HUN,UEFA,Videoton|Vidi|Fehérvár
PFC CSKA Moscow,f0c0c2c2,Russia,RUS,UEFA,CSKA Moscow
Fenerbahçe SK,ae1e2d7d,Turkey,TUR,UEFA,Fenerbahçe
SS Lazio,7213da33,Italy,ITA,UEFA,Lazio
Manchester United FC,19538871,England,ENG,UEFA,Manchester Utd
Valencia CF,dcc91a7b,Spain,ESP,UEFA,Valencia
KAA Gent,51e5a603,Belgium,BEL,UEFA,Gent
SL Benfica,a77c513e,Portugal,POR,UEFA,Benfica
Knattspyrnufélagið Víkingur,ead990c4,Iceland,ISL,UEFA,Víkingur Reyk
Odds BK,b70ec3fa,Norway,NOR,UEFA,Odd
FC Torpedo-BelAZ Zhodino,f7e8060a,Belarus,BLR,UEFA,Torpedo Zho
Alashkert FC,e6232d10,Armenia,ARM,UEFA,Alashkert FC|Alashkert
Newtown AFC,584106a8,Wales,WAL,UEFA,Newtown AFC
FK Renova,623ecff4,North Macedonia,MKD,UEFA,FK Renova
FC Dacia Chișinău,3cb9ad76,Moldova,MDA,UEFA,Dacia Chișinău
FK Olimpic,63bc42eb,Bosnia and Herzegovina,BIH,UEFA,FK Olimpic
West Ham United FC,7c21e445,England,ENG,UEFA,West Ham
FC Lusitanos,857b60c3,Andorra,AND,UEFA,FC Lusitanos
Bala Town FC,56b45f69,Wales,WAL,UEFA,Bala Town FC
Seinäjoen SJK,c889f292,Finland,FIN,UEFA,SJK Seinäjoki
NSÍ Runavík,448e1bb9,Faroe Islands,FRO,UEFA,NSÍ Runavík
AC Juvenes/Dogana,633ae161,San Marino,SMR,UEFA,Juvenes/Dogana
MTK Budapest FC,e44db2c6,Hungary,HUN,UEFA,MTK Budapest
Skonto FC,89873a40,Latvia,LVA,UEFA,Skonto FC
FC Lahti,5b8cfb05,Finland,FIN,UEFA,Lahti
PFC Beroe Stara Zagora,ab7b2fe7,Bulgaria,BUL,UEFA,Beroe
FC Ordabasy,38bfcdf5,Kazakhstan,KAZ,UEFA,FC Ordabasy|Ordabasy
Beitar Jerusalem FC,79000faa,Israel,ISR,UEFA,Beitar Jerusalem
Balzan FC,49e1cbfd,Malta,MLT,UEFA,Balzan FC|Balzan
FK Spartaks Jūrmala,654ac5a4,Latvia,LVA,UEFA,Spartaks Jūrmala
