comp,season,matchid,minute,extraTime,goaltype,team.id,team.name,scorer.id,scorer.name,assist.id,assist.name
CL,2019,269483,68,,REGULAR,1884,Astana FK,15205,Evgeny Postnikov,,
CL,2019,269481,3,,PENALTY,8164,FC Ararat-Armenia,84876,Petros Avetisyan,,
CL,2019,269481,39,,REGULAR,5277,AIK Fotboll,81297,Chinedu Obasi,,
CL,2019,269481,45,,REGULAR,8164,FC Ararat-Armenia,84876,Petros Avetisyan,,
CL,2019,269477,81,,PENALTY,7285,KF Shkëndija 79,84564,Agim Ibraimi,,
CL,2019,269505,21,,REGULAR,5123,Helsingin JK,55905,Lassi Lappalainen,,
CL,2019,269505,42,,REGULAR,5123,Helsingin JK,55853,Daniel O'Shaughnessy,,
CL,2019,269505,66,,REGULAR,5123,Helsingin JK,55905,Lassi Lappalainen,,
CL,2019,269487,29,,REGULAR,4275,FK Sarajevo,40715,Mirko Oremuš,,
CL,2019,269487,35,,REGULAR,732,Celtic FC,16075,Michael Johnston,,
CL,2019,269487,51,,REGULAR,732,Celtic FC,16077,Odsonne Edouard,16075,Michael Johnston
CL,2019,269487,85,,REGULAR,732,Celtic FC,15608,Scott Sinclair,35076,Lewis Morgan
CL,2019,269491,26,,REGULAR,1875,F91 Diddeleng,77649,Adel Bettaieb,15242,Mario Pokar
CL,2019,269491,45,2,REGULAR,1875,F91 Diddeleng,15224,Dominik Stolz,121410,Mohamed Bouchouari
CL,2019,269491,64,,REGULAR,5813,Valletta FC,111093,Douglas Packer,,
CL,2019,269491,70,,REGULAR,5813,Valletta FC,67576,Jean Borg,111093,Douglas Packer
CL,2019,269503,49,,PENALTY,1904,The New Saints FC,14961,Greg Draper,,
CL,2019,269503,77,,REGULAR,1904,The New Saints FC,14949,Aeron Edwards,,
CL,2019,269503,89,,REGULAR,8101,KF Feronikeli,119953,Mevlan Zeka,,
CL,2019,269503,90,3,PENALTY,8101,KF Feronikeli,120181,Astrit Fazliu,,
CL,2019,269489,30,,REGULAR,8165,FC Saburtalo,71622,Ognjen Rolović,,
CL,2019,269489,67,,REGULAR,8165,FC Saburtalo,120317,Giorgi Kokhreidze,,
CL,2019,269489,71,,REGULAR,8165,FC Saburtalo,85333,Levan Kakubava,,
CL,2019,269507,36,,REGULAR,5628,GKS Piast Gliwice,7734,Piotr Parzyszek,,
CL,2019,269507,64,,REGULAR,748,FK BATE Borisov,15411,Stanislaw Drahun,15416,Ihar Stasevich
CL,2019,269485,6,,REGULAR,5954,Ferencvárosi TC,38485,Tokmac Nguen,57213,Gergő Lovrencsics
CL,2019,269485,31,,REGULAR,1901,PFK Ludogorets 1945 Razgrad,3544,Jakub Świerczok,96154,Mavis Tchibota
CL,2019,269485,65,,REGULAR,5954,Ferencvárosi TC,16486,Oleksandr Zubkov,38485,Tokmac Nguen
CL,2019,269495,82,,REGULAR,7509,ŠK Slovan Bratislava,57705,Andraž Šporar,120703,Erik Daniel
CL,2019,269495,90,5,REGULAR,7284,FK Sutjeska Nikšić,15360,Damir Kojašević,,
CL,2019,269497,22,,REGULAR,889,Rosenborg BK,3463,Mike Jensen,15569,Birger Meling
CL,2019,269497,69,,REGULAR,889,Rosenborg BK,16207,Alexander Søderlund,15549,Anders Konradsen
CL,2019,269499,43,,REGULAR,734,NK Maribor,23108,Špiro Peričić,67822,Rok Kronaveter
CL,2019,269499,60,,REGULAR,734,NK Maribor,15376,Dino Hotič,67822,Rok Kronaveter
CL,2019,269499,86,,PENALTY,734,NK Maribor,67822,Rok Kronaveter,,
CL,2019,269478,6,,REGULAR,5106,Nõmme Kalju FC,73289,Maximiliano Uggè,,
CL,2019,269478,62,,PENALTY,7285,KF Shkëndija 79,84564,Agim Ibraimi,,
CL,2019,269478,90,1,REGULAR,5106,Nõmme Kalju FC,74890,Liliu,,
CL,2019,269490,11,,REGULAR,1880,FC Sheriff Tiraspol,29850,Robert Ndip Tambe,,
CL,2019,269490,59,,REGULAR,8165,FC Saburtalo,71622,Ognjen Rolović,,
CL,2019,269490,3,,REGULAR,1880,FC Sheriff Tiraspol,63244,Liridon Latifi,,
CL,2019,269490,8,,OWN,8165,FC Saburtalo,120309,Gagi Margvelashvili,,
CL,2019,269492,35,,REGULAR,5813,Valletta FC,67599,Mario Fontanella,,
CL,2019,269492,59,,REGULAR,1875,F91 Diddeleng,15242,Mario Pokar,,
CL,2019,269506,17,,REGULAR,8166,HB,84308,Sebastian Pingel,,
CL,2019,269506,56,,REGULAR,8166,HB,121478,Lasse Andersen,,
CL,2019,269506,60,,REGULAR,5123,Helsingin JK,56442,Riku Riski,,
CL,2019,269506,77,,REGULAR,5123,Helsingin JK,56442,Riku Riski,,
CL,2019,269480,4,,REGULAR,7283,FK Crvena Zvezda,15832,El Fardou Ben Nabouhane,,
CL,2019,269480,29,,REGULAR,7283,FK Crvena Zvezda,15826,Marko Marin,,
CL,2019,269480,90,6,REGULAR,5819,FK Sūduva Marijampolė,10795,Mihret Topcagić,,
CL,2019,269504,67,,REGULAR,1904,The New Saints FC,16769,Dean Ebbe,,
CL,2019,269482,47,,REGULAR,5277,AIK Fotboll,31153,Henok Goitom,31151,Rasmus Lindkvist
CL,2019,269482,52,,REGULAR,5277,AIK Fotboll,31153,Henok Goitom,31171,Anton Salétros
CL,2019,269482,62,,PENALTY,5277,AIK Fotboll,3493,Sebastian Larsson,,
CL,2019,269482,77,,REGULAR,8164,FC Ararat-Armenia,35502,Anton Kobialko,,
CL,2019,269494,51,,REGULAR,611,Qarabağ Ağdam FK,60459,Filip Ozobić,9562,Ailton Silva
CL,2019,269494,90,4,REGULAR,611,Qarabağ Ağdam FK,15968,Dani Quintana,15055,Míchel
CL,2019,269498,20,,REGULAR,889,Rosenborg BK,15549,Anders Konradsen,15555,Vegar Eggen Hedenstad
CL,2019,269498,51,,REGULAR,889,Rosenborg BK,15549,Anders Konradsen,15552,Pål Helland
CL,2019,269498,69,,REGULAR,889,Rosenborg BK,37963,Babajide Akintola,,
CL,2019,269498,85,,REGULAR,889,Rosenborg BK,15552,Pål Helland,37963,Babajide Akintola
CL,2019,269486,17,,REGULAR,5954,Ferencvárosi TC,28965,Ihor Kharatin,16486,Oleksandr Zubkov
CL,2019,269486,21,,REGULAR,5954,Ferencvárosi TC,15524,Michal Škvarka,16486,Oleksandr Zubkov
CL,2019,269486,24,,REGULAR,1901,PFK Ludogorets 1945 Razgrad,15445,Georgi Terziev,96154,Mavis Tchibota
CL,2019,269486,48,,REGULAR,5954,Ferencvárosi TC,38485,Tokmac Nguen,15524,Michal Škvarka
CL,2019,269486,69,,OWN,5954,Ferencvárosi TC,41020,Marcel Heister,,
CL,2019,269484,4,,REGULAR,1884,Astana FK,15206,Roman Murtazaev,,
CL,2019,269484,10,,REGULAR,5515,FC CFR 1907 Cluj,36746,Billel Omrani,15163,Damjan Đoković
CL,2019,269484,73,,REGULAR,5515,FC CFR 1907 Cluj,36746,Billel Omrani,15271,Mateo Sušić
CL,2019,269484,26,,REGULAR,5515,FC CFR 1907 Cluj,36746,Billel Omrani,,
CL,2019,269508,21,,REGULAR,5628,GKS Piast Gliwice,43825,Jakub Czerwiński,64325,Joel Valencia
CL,2019,269508,82,,PENALTY,748,FK BATE Borisov,80980,Hérvaine Moukam,,
CL,2019,269508,87,,REGULAR,748,FK BATE Borisov,16085,Zakhar Volkov,15416,Ihar Stasevich
CL,2019,269496,49,,OWN,7284,FK Sutjeska Nikšić,67740,Nemanja Nedić,,
CL,2019,269496,90,3,REGULAR,7284,FK Sutjeska Nikšić,17102,Aleksandar Šofranac,37837,Stefan Nikolić
CL,2019,269500,11,,REGULAR,734,NK Maribor,67822,Rok Kronaveter,15376,Dino Hotič
CL,2019,269500,32,,REGULAR,734,NK Maribor,15393,Marcos Tavares,2226,Andrej Kotnik
CL,2019,269488,26,,REGULAR,732,Celtic FC,34495,Ryan Christie,16077,Odsonne Edouard
CL,2019,269488,62,,REGULAR,4275,FK Sarajevo,23190,Benjamin Tatar,17881,Amar Rahmanović
