season,tie,game,hometeam,awayteam,pcthome,pctdraw,pctaway
2010,inter-barcelona,2,Barcelona,Inter,0.6739939100799426,0.18538142909860894,0.1406246608214485
2011,arsenal-barcelona,1,Arsenal,Barcelona,0.24204418412151835,0.2497078522203527,0.508247963658129
2011,arsenal-barcelona,2,Barcelona,Arsenal,0.7236966912298965,0.16454017263837623,0.11176313613172727
2011,copenhagen-chelsea,1,FC Copenhagen,Chelsea,0.21616561611819518,0.29222388845607866,0.49161049542572627
2011,copenhagen-chelsea,2,Chelsea,FC Copenhagen,0.7356646725652478,0.17379135705873294,0.09054397037601927
2011,inter-bayern,1,Inter,Bayern Munich,0.35981983235081144,0.2948056570350885,0.34537451061410007
2011,inter-bayern,2,Bayern Munich,Inter,0.5404888543596486,0.23671786290563557,0.22279328273471583
2011,lyon-madrid,1,Lyon,Real Madrid,0.22166420467057307,0.27530306469289834,0.5030327306365285
2011,lyon-madrid,2,Real Madrid,Lyon,0.7129402415478058,0.1837662888836223,0.103293469568572
2011,marseille-united,1,Marseille,Manchester Utd,0.31744022733211397,0.3041710216880063,0.37838875097987984
2011,marseille-united,2,Manchester Utd,Marseille,0.6149845367742016,0.24168587007811287,0.1433295931476857
2011,milan-tottenham,1,AC Milan,Tottenham,0.5563181053012543,0.257589031436529,0.1860928632622168
2011,milan-tottenham,2,Tottenham,AC Milan,0.4118800650240246,0.27988289285015316,0.3082370421258223
2011,roma-shakhtar,1,AS Roma,Shakhtar Donetsk,0.43203141707331294,0.2929253261271069,0.2750432567995801
2011,roma-shakhtar,2,Shakhtar Donetsk,AS Roma,0.5377652643335815,0.24742491933482252,0.2148098163315959
2011,valencia-schalke,1,Valencia,Schalke,0.5634432407490312,0.2565685534815749,0.17998820576939384
2011,valencia-schalke,2,Schalke,Valencia,0.3615875277442628,0.2977108666916485,0.34070160556408874
2011,barcelona-shakhtar,1,Barcelona,Shakhtar Donetsk,0.7895268648798848,0.14398666228812487,0.06648647283199029
2011,barcelona-shakhtar,2,Shakhtar Donetsk,Barcelona,0.24063256155458726,0.25559080186744,0.5037766365779728
2011,chelsea-united,1,Chelsea,Manchester Utd,0.44936636602351865,0.29489667770293415,0.2557369562735472
2011,chelsea-united,2,Manchester Utd,Chelsea,0.4208129479695981,0.28605109756241565,0.29313595446798635
2011,inter-schalke,1,Inter,Schalke,0.5622628837413342,0.26992989753957153,0.1678072187190942
2011,inter-schalke,2,Schalke,Inter,0.37174863562378324,0.25940701496824436,0.3688443494079724
2011,madrid-tottenham,1,Real Madrid,Tottenham,0.6901675476773073,0.19869436090927767,0.111138091413415
2011,madrid-tottenham,2,Tottenham,Real Madrid,0.2965608905133743,0.2529489948496428,0.4504901146369828
2011,madrid-barcelona,1,Real Madrid,Barcelona,0.35602788810044345,0.3033678146193489,0.34060429728020764
2011,madrid-barcelona,2,Barcelona,Real Madrid,0.585192039574494,0.22695343446899302,0.18785452595651306
2011,schalke-united,1,Schalke,Manchester Utd,0.26579367026496564,0.2920448969578017,0.4421614327772325
2011,schalke-united,2,Manchester Utd,Schalke,0.6129641389618934,0.23785796120108874,0.14917789983701774
2012,basel-bayern,1,Basel,Bayern Munich,0.160024192633847,0.24948653654725753,0.5904892708188955
2012,basel-bayern,2,Bayern Munich,Basel,0.7970024493530373,0.13210638266811098,0.07089116797885178
2012,cska-madrid,1,CSKA Moscow,Real Madrid,0.12179534735838057,0.21355519050394786,0.6646494621376716
2012,cska-madrid,2,Real Madrid,CSKA Moscow,0.8632879078842847,0.09374301072780979,0.04296908138790557
2012,leverkusen-barcelona,1,Bayer Leverkusen,Barcelona,0.10197973476520167,0.19455560054590731,0.7034646646888909
2012,leverkusen-barcelona,2,Barcelona,Bayer Leverkusen,0.8443238192663934,0.10542733794193865,0.05024884279166789
2012,lyon-apoel,1,Lyon,APOEL,0.652429830437975,0.22913247976902468,0.11843768979300025
2012,lyon-apoel,2,APOEL,Lyon,0.33000182381907717,0.28963462824487807,0.38036354793604477
2012,marseille-inter,1,Marseille,Inter,0.49869221483735027,0.2739781735423656,0.22732961162028414
2012,marseille-inter,2,Inter,Marseille,0.4846110204950003,0.2747350160654182,0.2406539634395815
2012,milan-arsenal,1,AC Milan,Arsenal,0.4509492774156985,0.2896004533862284,0.2594502691980731
2012,milan-arsenal,2,Arsenal,AC Milan,0.46899448848177366,0.2595531141734747,0.2714523973447515
2012,napoli-chelsea,1,Napoli,Chelsea,0.43075375010198413,0.2880420213447918,0.281204228553224
2012,napoli-chelsea,2,Chelsea,Napoli,0.5839615184941513,0.22541064307428715,0.19062783843156147
2012,zenit-benfica,1,Zenit Petersburg,Benfica,0.3999903860020189,0.2981060423977311,0.30190357160024994
2012,zenit-benfica,2,Benfica,Zenit Petersburg,0.5476328537657791,0.25743610429722635,0.19493104193699445
2012,apoel-madrid,1,APOEL,Real Madrid,0.0920793881926721,0.18760948324069088,0.720311128566637
2012,apoel-madrid,2,Real Madrid,APOEL,0.8819451142365977,0.08557957981810652,0.03247530594529579
2012,benfica-chelsea,1,Benfica,Chelsea,0.42084942084942084,0.28957528957528955,0.28957528957528955
2012,benfica-chelsea,2,Chelsea,Benfica,0.5783621850108949,0.2478086619849854,0.17382915300411977
2012,marseille-bayern,1,Marseille,Bayern Munich,0.1958576724819027,0.2647908197800025,0.5393515077380948
2012,marseille-bayern,2,Bayern Munich,Marseille,0.6881212930918761,0.1946238463756397,0.11725486053248416
2012,milan-barcelona,1,AC Milan,Barcelona,0.1963232188719446,0.24565832827758868,0.5580184528504667
2012,milan-barcelona,2,Barcelona,AC Milan,0.7649552011556685,0.15006292649329167,0.08498187235103973
2012,barcelona-chelsea,1,Barcelona,Chelsea,0.7646020620801378,0.14363028344431047,0.0917676544755517
2012,barcelona-chelsea,2,Chelsea,Barcelona,0.1948272788769118,0.2456736746561575,0.5594990464669306
2012,bayern-madrid,1,Bayern Munich,Real Madrid,0.3627120821074349,0.2786820102995541,0.3586059075930111
2012,bayern-madrid,2,Real Madrid,Bayern Munich,0.6266258331263445,0.2099104525432413,0.16346371433041434
2013,arsenal-bayern,1,Arsenal,Bayern Munich,0.23338099462894657,0.26662800783027696,0.4999909975407765
2013,arsenal-bayern,2,Bayern Munich,Arsenal,0.710364507512098,0.1749532310114784,0.11468226147642363
2013,celtic-juventus,1,Celtic,Juventus,0.2081832275842447,0.2745864984516331,0.517230273964122
2013,celtic-juventus,2,Juventus,Celtic,0.6666864576000086,0.20923331858685593,0.12408022381313548
2013,galatasaray-schalke,1,Galatasaray,Schalke,0.41068663081628365,0.28649696101854516,0.3028164081651712
2013,galatasaray-schalke,2,Schalke,Galatasaray,0.566058144993669,0.23384916199890213,0.20009269300742882
2013,madrid-united,1,Real Madrid,Manchester Utd,0.6211223347852672,0.20102187759913825,0.17785578761559442
2013,madrid-united,2,Manchester Utd,Real Madrid,0.3192942515651679,0.26742011545654115,0.41328563297829085
2013,milan-barcelona,1,AC Milan,Barcelona,0.15770737383008246,0.23695142553183182,0.6053412006380856
2013,milan-barcelona,2,Barcelona,AC Milan,0.7465890927847512,0.15291483043255186,0.10049607678269705
2013,porto-malaga,1,FC Porto,Malaga,0.5774949472107189,0.25599621217474877,0.16650884061453222
2013,porto-malaga,2,Malaga,FC Porto,0.3423959525386978,0.29575377943745107,0.3618502680238511
2013,shakhtar-dortmund,1,Shakhtar Donetsk,Dortmund,0.37994137403130673,0.2841104636673273,0.335948162301366
2013,shakhtar-dortmund,2,Dortmund,Shakhtar Donetsk,0.5730455973320843,0.2388129570966694,0.1881414455712464
2013,valencia-psg,1,Valencia,Paris SG,0.38633418010264914,0.29452019285603187,0.3191456270413189
2013,valencia-psg,2,Paris SG,Valencia,0.4929641277117425,0.2745056233676243,0.23253024892063323
2013,bayern-juventus,1,Bayern Munich,Juventus,0.6020677194415751,0.2426128627515298,0.1553194178068951
2013,bayern-juventus,2,Juventus,Bayern Munich,0.31789283549809266,0.2863899418901736,0.39571722261173364
2013,madrid-galatasaray,1,Real Madrid,Galatasaray,0.8157070317916454,0.1228356135740665,0.06145735463428826
2013,madrid-galatasaray,2,Galatasaray,Real Madrid,0.19380760574225395,0.2483159948572629,0.5578763994004831
2013,malaga-dortmund,1,Malaga,Dortmund,0.2922621149093588,0.281087386986354,0.4266504981042873
2013,malaga-dortmund,2,Dortmund,Malaga,0.7225974236572376,0.18140668479256963,0.0959958915501928
2013,psg-barcelona,1,Paris SG,Barcelona,0.2196550602017572,0.26602668402212815,0.5143182557761145
2013,psg-barcelona,2,Barcelona,Paris SG,0.6741589281351233,0.19341797615624454,0.13242309570863217
2013,bayern-barcelona,1,Bayern Munich,Barcelona,0.4739564515955944,0.2637443614939671,0.2622991869104385
2013,bayern-barcelona,2,Barcelona,Bayern Munich,0.4608523862055043,0.24145414692882844,0.29769346686566733
2013,dortmund-madrid,1,Dortmund,Real Madrid,0.37006700246355667,0.2722936182899465,0.3576393792464969
2013,dortmund-madrid,2,Real Madrid,Dortmund,0.6339516786734687,0.18809359777810306,0.17795472354842834
2014,arsenal-bayern,1,Arsenal,Bayern Munich,0.18457122206608592,0.23352076757752965,0.5819080103563843
2014,arsenal-bayern,2,Bayern Munich,Arsenal,0.7354582632407808,0.15449379653478587,0.11004794022443319
2014,city-barcelona,1,Manchester City,Barcelona,0.32488005483207677,0.27073337902673067,0.4043865661411926
2014,city-barcelona,2,Barcelona,Manchester City,0.5818402022414838,0.2081688753547298,0.2099909224037865
2014,galatasaray-chelsea,1,Galatasaray,Chelsea,0.27204687576936337,0.294647693140972,0.4333054310896647
2014,galatasaray-chelsea,2,Chelsea,Galatasaray,0.6797723837181657,0.2043427767477446,0.11588483953408975
2014,leverkusen-psg,1,Bayer Leverkusen,Paris SG,0.28328727404521364,0.2841254020749332,0.4325873238798532
2014,leverkusen-psg,2,Paris SG,Bayer Leverkusen,0.680213724780719,0.19854862142735577,0.12123765379192519
2014,milan-atletico,1,AC Milan,Atl. Madrid,0.2428649716617874,0.2926262961307163,0.46450873220749633
2014,milan-atletico,2,Atl. Madrid,AC Milan,0.6421634321775124,0.21597424849019475,0.14186231933229287
2014,olympiacos-united,1,Olympiakos Piraeus,Manchester Utd,0.295021827938983,0.29869811239928185,0.4062800596617351
2014,olympiacos-united,2,Manchester Utd,Olympiakos Piraeus,0.6508011273725519,0.2083532816467814,0.14084559098066665
2014,schalke-madrid,1,Schalke,Real Madrid,0.16020510650342049,0.22708318162395216,0.6127117118726273
2014,schalke-madrid,2,Real Madrid,Schalke,0.7578009747947618,0.14763988482570803,0.09455914037953009
2014,zenit-dortmund,1,Zenit Petersburg,Dortmund,0.20527910910628702,0.2463349309275444,0.5483859599661687
2014,zenit-dortmund,2,Dortmund,Zenit Petersburg,0.7126331191692786,0.16993030714827498,0.11743657368244644
2014,barcelona-atletico,1,Barcelona,Atl. Madrid,0.6176226688351374,0.2267715126966157,0.15560581846824686
2014,barcelona-atletico,2,Atl. Madrid,Barcelona,0.2592608639140418,0.27178198518261776,0.4689571509033404
2014,madrid-dortmund,1,Real Madrid,Dortmund,0.6906344889657018,0.1879478642305145,0.12141764680378368
2014,madrid-dortmund,2,Dortmund,Real Madrid,0.3257007500986972,0.2487169364390051,0.42558231346229763
2014,psg-chelsea,1,Paris SG,Chelsea,0.4605832672568689,0.2859740883266529,0.25344264441647807
2014,psg-chelsea,2,Chelsea,Paris SG,0.5238858608528375,0.2527519504114567,0.2233621887357059
2014,united-bayern,1,Manchester Utd,Bayern Munich,0.14899411907999885,0.1999983299683802,0.651007550951621
2014,united-bayern,2,Bayern Munich,Manchester Utd,0.7391034849459968,0.15279117383597426,0.10810534121802902
2014,atletico-chelsea,1,Atl. Madrid,Chelsea,0.5404470503314883,0.2758370511183277,0.18371589855018391
2014,atletico-chelsea,2,Chelsea,Atl. Madrid,0.40275101335636915,0.29676390457837726,0.3004850820652535
2014,madrid-bayern,1,Real Madrid,Bayern Munich,0.42918996933068737,0.2626736424318961,0.30813638823741657
2014,madrid-bayern,2,Bayern Munich,Real Madrid,0.5508502267122031,0.2229970771358617,0.2261526961519352
2015,arsenal-monaco,1,Arsenal,Monaco,0.601405991149634,0.2540989399902429,0.14449506886012317
2015,arsenal-monaco,2,Monaco,Arsenal,0.2798649234456907,0.2689509709993407,0.45118410555496863
2015,basel-porto,1,Basel,FC Porto,0.26315167277455964,0.3045277219529495,0.4323206052724909
2015,basel-porto,2,FC Porto,Basel,0.6716314841497438,0.21263832629807447,0.11573018955218167
2015,city-barcelona,1,Manchester City,Barcelona,0.24908944599504643,0.2640212383980193,0.4868893156069344
2015,city-barcelona,2,Barcelona,Manchester City,0.7072237514994192,0.16884293976950904,0.12393330873107185
2015,juventus-dortmund,1,Juventus,Dortmund,0.49667385189228475,0.28641961113546455,0.2169065369722507
2015,juventus-dortmund,2,Dortmund,Juventus,0.42819976245687463,0.28759685538148294,0.2842033821616425
2015,leverkusen-atletico,1,Bayer Leverkusen,Atl. Madrid,0.3265411440903263,0.308862164951678,0.36459669095799585
2015,leverkusen-atletico,2,Atl. Madrid,Bayer Leverkusen,0.5507127786822786,0.2672527803573427,0.18203444096037869
2015,psg-chelsea,1,Paris SG,Chelsea,0.36275849074379385,0.3165245654529181,0.32071694380328797
2015,psg-chelsea,2,Chelsea,Paris SG,0.4342087283444066,0.2997787814885532,0.2660124901670403
2015,schalke-madrid,1,Schalke,Real Madrid,0.13971237542576007,0.21761069761574364,0.6426769269584962
2015,schalke-madrid,2,Real Madrid,Schalke,0.8011909881294107,0.1304856558022045,0.06832335606838473
2015,shakhtar-bayern,1,Shakhtar Donetsk,Bayern Munich,0.10486217982704593,0.18871072047460521,0.7064270996983489
2015,shakhtar-bayern,2,Bayern Munich,Shakhtar Donetsk,0.8322743514225242,0.11631786116266603,0.0514077874148098
2015,atletico-madrid,1,Atl. Madrid,Real Madrid,0.3284988952094401,0.2971651544356166,0.3743359503549434
2015,atletico-madrid,2,Real Madrid,Atl. Madrid,0.483456604547085,0.2835522607314282,0.23299113472148675
2015,juventus-monaco,1,Juventus,Monaco,0.6361336458411792,0.24617131120868363,0.11769504295013707
2015,juventus-monaco,2,Monaco,Juventus,0.2318165250391292,0.3143916924550281,0.4537917825058425
2015,porto-bayern,1,FC Porto,Bayern Munich,0.2347549536976973,0.2968747260607803,0.46837032024152225
