season,round,tie,winner,pk,agr,aet,result
2013,semi,dortmund-madrid,dortmund,False,False,False,dortmund (4-3) madrid
2014,first,arsenal-bayern,arsenal,False,False,False,arsenal (3-1) bayern
2014,first,city-barcelona,barcelona,False,False,False,city (0-5) barcelona
2014,first,galatasaray-chelsea,chelsea,False,False,False,galatasaray (1-3) chelsea
2014,first,leverkusen-psg,psg,False,False,False,leverkusen (1-6) psg
2014,first,milan-atletico,atletico,False,False,False,milan (1-5) atletico
2014,first,olympiacos-united,united,False,False,False,olympiacos (2-3) united
2014,first,schalke-madrid,madrid,False,False,False,schalke (2-9) madrid
2014,first,zenit-dortmund,dortmund,False,False,False,zenit (4-5) dortmund
2014,qtr,barcelona-atletico,atletico,False,False,False,barcelona (1-2) atletico
2014,qtr,madrid-dortmund,madrid,False,False,False,madrid (3-2) dortmund
2014,qtr,psg-chelsea,chelsea,False,True,False,"psg (3-3) chelsea, chelsea won on away goals"
2014,qtr,united-bayern,united,False,True,False,"united (3-3) bayern, united won on away goals"
2014,semi,atletico-chelsea,atletico,False,False,False,atletico (3-1) chelsea
2014,semi,madrid-bayern,madrid,False,False,False,madrid (5-0) bayern
2015,first,arsenal-monaco,monaco,False,True,False,"arsenal (3-3) monaco, monaco won on away goals"
2015,first,basel-porto,porto,False,False,False,basel (1-5) porto
2015,first,city-barcelona,barcelona,False,True,False,"city (2-2) barcelona, barcelona won on away goals"
2015,first,juventus-dortmund,juventus,False,False,False,juventus (4-2) dortmund
2015,first,leverkusen-atletico,atletico,True,False,True,"leverkusen (1-1 aet) atletico, atletico won on penalties"
2015,first,psg-chelsea,chelsea,False,True,True,"psg (3-3 aet) chelsea, chelsea won on away goals"
2015,first,schalke-madrid,madrid,False,False,False,schalke (4-5) madrid
2015,first,shakhtar-bayern,bayern,False,False,False,shakhtar (0-7) bayern
2015,qtr,atletico-madrid,madrid,False,False,False,atletico (0-1) madrid
2015,qtr,juventus-monaco,juventus,False,False,False,juventus (1-0) monaco
2015,qtr,porto-bayern,bayern,False,False,False,porto (4-7) bayern
2015,qtr,psg-barcelona,barcelona,False,False,False,psg (1-5) barcelona
2015,semi,barcelona-bayern,barcelona,False,False,False,barcelona (5-3) bayern
2015,semi,juventus-madrid,juventus,False,False,False,juventus (3-2) madrid
2016,first,arsenal-barcelona,barcelona,False,False,False,arsenal (1-5) barcelona
2016,first,benfica-zenit,benfica,False,False,False,benfica (3-1) zenit
2016,first,gent-wolfsburg,wolfsburg,False,False,False,gent (2-4) wolfsburg
2016,first,juventus-bayern,bayern,False,False,True,juventus (4-6 aet) bayern
2016,first,kyiv-city,city,False,False,False,kyiv (1-3) city
2016,first,psg-chelsea,psg,False,False,False,psg (5-1) chelsea
2016,first,psv-atletico,psv,True,False,True,"psv (0-0 aet) atletico, psv won on penalties"
2016,first,roma-madrid,madrid,False,False,False,roma (0-4) madrid
2016,qtr,barcelona-atletico,atletico,False,False,False,barcelona (2-3) atletico
2016,qtr,bayern-benfica,bayern,False,False,False,bayern (3-2) benfica
2016,qtr,psg-city,city,False,False,False,psg (2-3) city
2016,qtr,wolfsburg-madrid,madrid,False,False,False,wolfsburg (2-3) madrid
2016,semi,atletico-bayern,atletico,False,True,False,"atletico (2-2) bayern, atletico won on away goals"
2016,semi,city-madrid,madrid,False,False,False,city (0-1) madrid
2017,first,bayern-arsenal,bayern,False,False,False,bayern (10-2) arsenal
2017,first,benfica-dortmund,dortmund,False,False,False,benfica (1-4) dortmund
2017,first,city-monaco,monaco,False,True,False,"city (6-6) monaco, monaco won on away goals"
2017,first,leverkusen-atletico,atletico,False,True,False,"leverkusen (3-3) atletico, atletico won on away goals"
2017,first,madrid-napoli,madrid,False,False,False,madrid (6-2) napoli
2017,first,porto-juventus,juventus,False,False,False,porto (0-3) juventus
2017,first,psg-barcelona,barcelona,False,False,False,psg (5-6) barcelona
2017,first,sevilla-leicester,leicester,False,False,False,sevilla (2-3) leicester
2017,qtr,atletico-leicester,atletico,False,False,False,atletico (2-1) leicester
2017,qtr,bayern-madrid,madrid,False,False,True,bayern (3-6 aet) madrid
2017,qtr,dortmund-monaco,monaco,False,False,False,dortmund (3-6) monaco
2017,qtr,juventus-barcelona,juventus,False,False,False,juventus (3-0) barcelona
2017,semi,madrid-atletico,madrid,False,False,False,madrid (4-2) atletico
2017,semi,monaco-juventus,juventus,False,False,False,monaco (1-4) juventus
2018,first,basel-city,city,False,False,False,basel (2-5) city
2018,first,bayern-besiktas,bayern,False,False,False,bayern (8-1) besiktas
2018,first,chelsea-barcelona,barcelona,False,False,False,chelsea (1-4) barcelona
2018,first,juventus-tottenham,juventus,False,False,False,juventus (4-3) tottenham
2018,first,madrid-psg,madrid,False,False,False,madrid (5-2) psg
2018,first,porto-liverpool,liverpool,False,False,False,porto (0-5) liverpool
2018,first,sevilla-united,sevilla,False,False,False,sevilla (2-1) united
2018,first,shakhtar-roma,shakhtar,False,False,False,shakhtar (3-1) roma
