tie,hometeam,awayteam,oddshome,oddsdraw,oddsaway,season
AC Milan - Atl. Madrid,AC Milan,Atl. Madrid,294,227,106,2014
Arsenal - Bayern Munich,Arsenal,Bayern Munich,420,311,-154,2014
Bayer Leverkusen - Paris SG,Bayer Leverkusen,Paris SG,239,238,122,2014
Manchester City - Barcelona,Manchester City,Barcelona,195,254,137,2014
Barcelona - Bayern Munich,Barcelona,Bayern Munich,108,297,222,2013
Real Madrid - Dortmund,Real Madrid,Dortmund,-196,409,438,2013
Dortmund - Real Madrid,Dortmund,Real Madrid,159,252,168,2013
Bayern Munich - Barcelona,Bayern Munich,Barcelona,102,263,265,2013
Barcelona - Paris SG,Barcelona,Paris SG,-238,395,623,2013
Juventus - Bayern Munich,Juventus,Bayern Munich,200,233,141,2013
Dortmund - Malaga,Dortmund,Malaga,-312,426,894,2013
Galatasaray - Real Madrid,Galatasaray,Real Madrid,392,284,-141,2013
Malaga - Dortmund,Malaga,Dortmund,227,240,124,2013
Real Madrid - Galatasaray,Real Madrid,Galatasaray,-588,677,1453,2013
Bayern Munich - Juventus,Bayern Munich,Juventus,-169,295,517,2013
Paris SG - Barcelona,Paris SG,Barcelona,336,260,-116,2013
Bayern Munich - Arsenal,Bayern Munich,Arsenal,-286,448,736,2013
Malaga - FC Porto,Malaga,FC Porto,179,223,164,2013
Barcelona - AC Milan,Barcelona,AC Milan,-357,525,851,2013
Schalke - Galatasaray,Schalke,Galatasaray,-145,309,378,2013
Juventus - Celtic,Juventus,Celtic,-227,359,674,2013
Paris SG - Valencia,Paris SG,Valencia,-106,249,312,2013
Dortmund - Shakhtar Donetsk,Dortmund,Shakhtar Donetsk,-149,301,409,2013
Manchester Utd - Real Madrid,Manchester Utd,Real Madrid,199,257,131,2013
AC Milan - Barcelona,AC Milan,Barcelona,507,304,-172,2013
Galatasaray - Schalke,Galatasaray,Schalke,133,234,216,2013
Arsenal - Bayern Munich,Arsenal,Bayern Munich,309,258,-110,2013
FC Porto - Malaga,FC Porto,Malaga,-152,274,475,2013
Real Madrid - Manchester Utd,Real Madrid,Manchester Utd,-185,376,438,2013
Shakhtar Donetsk - Dortmund,Shakhtar Donetsk,Dortmund,152,237,185,2013
Celtic - Juventus,Celtic,Juventus,359,248,-118,2013
Valencia - Paris SG,Valencia,Paris SG,147,224,199,2013
Real Madrid - Bayern Munich,Real Madrid,Bayern Munich,-192,354,483,2012
Barcelona - Chelsea,Barcelona,Chelsea,-417,560,933,2012
Chelsea - Barcelona,Chelsea,Barcelona,388,287,-143,2012
Bayern Munich - Real Madrid,Bayern Munich,Real Madrid,162,241,165,2012
Chelsea - Benfica,Chelsea,Benfica,-156,283,446,2012
Real Madrid - APOEL,Real Madrid,APOEL,-1250,1013,2833,2012
Barcelona - AC Milan,Barcelona,AC Milan,-417,532,1016,2012
Bayern Munich - Marseille,Bayern Munich,Marseille,-263,388,710,2012
AC Milan - Barcelona,AC Milan,Barcelona,383,286,-143,2012
Marseille - Bayern Munich,Marseille,Bayern Munich,384,258,-132,2012
APOEL - Real Madrid,APOEL,Real Madrid,933,407,-312,2012
Benfica - Chelsea,Benfica,Chelsea,125,227,227,2012
Chelsea - Napoli,Chelsea,Napoli,-159,322,399,2012
Real Madrid - CSKA Moscow,Real Madrid,CSKA Moscow,-1000,913,2110,2012
Bayern Munich - Basel,Bayern Munich,Basel,-526,618,1238,2012
Inter - Marseille,Inter,Marseille,-104,246,295,2012
APOEL - Lyon,APOEL,Lyon,187,227,149,2012
Barcelona - Bayer Leverkusen,Barcelona,Bayer Leverkusen,-833,797,1782,2012
Arsenal - AC Milan,Arsenal,AC Milan,102,265,249,2012
Benfica - Zenit Petersburg,Benfica,Zenit Petersburg,-137,268,386,2012
Basel - Bayern Munich,Basel,Bayern Munich,494,281,-164,2012
Marseille - Inter,Marseille,Inter,-111,246,317,2012
Napoli - Chelsea,Napoli,Chelsea,120,229,237,2012
CSKA Moscow - Real Madrid,CSKA Moscow,Real Madrid,675,342,-238,2012
AC Milan - Arsenal,AC Milan,Arsenal,110,227,265,2012
Zenit Petersburg - Benfica,Zenit Petersburg,Benfica,137,218,214,2012
Bayer Leverkusen - Barcelona,Bayer Leverkusen,Barcelona,831,388,-286,2012
Lyon - APOEL,Lyon,APOEL,-222,313,699,2012
Manchester Utd - Schalke,Manchester Utd,Schalke,-185,297,533,2011
Barcelona - Real Madrid,Barcelona,Real Madrid,-161,318,405,2011
Real Madrid - Barcelona,Real Madrid,Barcelona,165,211,177,2011
Schalke - Manchester Utd,Schalke,Manchester Utd,256,224,114,2011
Schalke - Inter,Schalke,Inter,154,264,156,2011
Tottenham - Real Madrid,Tottenham,Real Madrid,219,274,110,2011
Manchester Utd - Chelsea,Manchester Utd,Chelsea,125,231,223,2011
Shakhtar Donetsk - Barcelona,Shakhtar Donetsk,Barcelona,293,270,-114,2011
Barcelona - Shakhtar Donetsk,Barcelona,Shakhtar Donetsk,-500,558,1325,2011
Chelsea - Manchester Utd,Chelsea,Manchester Utd,110,220,269,2011
Inter - Schalke,Inter,Schalke,-147,250,463,2011
Real Madrid - Tottenham,Real Madrid,Tottenham,-270,376,751,2011
Chelsea - FC Copenhagen,Chelsea,FC Copenhagen,-345,446,948,2011
Real Madrid - Lyon,Real Madrid,Lyon,-303,416,818,2011
Bayern Munich - Inter,Bayern Munich,Inter,-133,300,325,2011
Manchester Utd - Marseille,Manchester Utd,Marseille,-185,292,561,2011
Schalke - Valencia,Schalke,Valencia,161,217,177,2011
Tottenham - AC Milan,Tottenham,AC Milan,129,237,206,2011
Barcelona - Arsenal,Barcelona,Arsenal,-323,476,748,2011
Shakhtar Donetsk - AS Roma,Shakhtar Donetsk,AS Roma,-132,282,340,2011
Inter - Bayern Munich,Inter,Bayern Munich,163,221,174,2011
Marseille - Manchester Utd,Marseille,Manchester Utd,198,211,150,2011
