predset,minuteclean,loglik
training,131,-337.11868167667984
training,132,-337.7894864490653
training,133,-337.0720443902387
training,134,-335.64354897248967
training,135,-332.05818305566237
training,136,-330.1640001364815
training,137,-327.98492227837295
training,138,-323.4173441992025
training,139,-321.607949300424
training,140,-318.1901804045944
training,141,-311.28836875278347
training,142,-311.6787206643838
training,143,-310.3922690846227
training,144,-306.0847671838893
training,145,-301.8924933214689
training,146,-301.07490147975193
training,147,-302.8506972935163
training,148,-297.7802025926912
training,149,-293.09056360991474
training,150,-287.0403809307706
training,151,-286.4388482580266
training,152,-284.75823565925265
training,153,-281.1668788245608
training,154,-273.24258146860575
training,155,-272.60277179522234
training,156,-266.3513885739107
training,157,-263.4969135742984
training,158,-255.59981844982403
training,159,-248.12051970726785
training,160,-243.2833480227832
training,161,-238.88843926285406
training,162,-233.290404567022
training,163,-230.69867717196433
training,164,-225.96524973302309
training,165,-215.37000976571042
training,166,-209.96472589408447
training,167,-204.0147202786219
training,168,-203.2667682885718
training,169,-197.74446084901373
training,170,-194.98152088009516
training,171,-194.82639215285428
training,172,-189.66454038160822
training,173,-184.91975915037318
training,174,-180.40296625248678
training,175,-174.38277313293665
training,176,-172.10682745154014
training,177,-168.36918630569468
training,178,-161.43679622522808
training,179,-157.4728279265
training,180,-116.35884620928226
training,181,-47.45548610501901
training,182,-46.824483484706164
training,183,-46.29276952406142
training,184,-44.14519897882664
training,185,-43.402379465195665
training,186,-45.04492945134946
training,187,-43.1778960599241
training,188,-43.76249721825601
training,189,-45.15410609570289
training,190,-45.25852934573516
training,191,-50.35586107180882
training,192,-48.05833154886178
training,193,-44.88945276950779
training,194,-44.71769139396918
training,195,-44.67043939659629
training,196,-44.67708533186998
training,197,-42.88345381760672
training,198,-41.75283834037502
training,199,-39.67503137945221
training,200,-39.55408372651991
training,201,-37.26791843434684
training,202,-36.096265942471675
training,203,-36.06686631319457
training,204,-33.24386105840661
training,205,-32.49892839976928
training,206,-31.83755721819178
training,207,-31.54978642798438
training,208,-30.901321834800154
training,209,-29.932032432300527
training,210,-22.874406405638663
