teamname,fbrefid,teamcountry,oddsnames
Beşiktaş JK,0f9294bd,Turkey,Besiktas||Besiktas (Tur)
Birkirkara FC,7bb567b2,Malta,Birkirkara||Birkirkara (Mlt)
BK Häcken,8774e267,Sweden,Hacken (Swe)
Bnei Yehuda Tel Aviv FC,1040e0f7,Israel,Bnei Yehuda (Isr)
Borussia Dortmund,add600ae,Germany,Dortmund||Dortmund (Ger)
Borussia Mönchengladbach,32f3ee20,Germany,B. Monchengladbach||B. Monchengladbach (Ger)
Breiðablik UBK,4a29fb1c,Iceland,Breidablik (Ice)
Brøndby IF,ab75e049,Denmark,Brondby (Den)
BSC Young Boys,4b682260,Switzerland,Young Boys||Young Boys (Sui)
Budapest Honvéd FC,8cac5dfa,Hungary,Honved (Hun)
Burnley FC,943e8050,England,Burnley (Eng)
Bursaspor,6a3b81bf,Turkey,Bursaspor (Tur)
Cardiff Metropolitan University FC,4872ca3d,Wales,Cardiff Metropolitan (Wal)
CD Nacional,5c9eb756,Portugal,Nacional (Por)
Cefn Druids AFC,0876564a,Wales,Druids
Celta de Vigo,f25da7fb,Spain,Celta Vigo
Celtic FC,b81aa4fa,Scotland,Celtic||Celtic (Sco)
CF Os Belenenses,19dc476f,Portugal,Belenenses (Por)
CFR Cluj,ff04e205,Romania,CFR Cluj||CFR Cluj (Rou)
Chelsea FC,cff3d9bb,England,Chelsea
Cliftonville FC,5a130b7c,Northern Ireland,Cliftonville (Nir)
Club Brugge KV,f1e6c5f1,Belgium,Club Brugge KV||Club Brugge KV (Bel)
Coleraine FC,3fdad06c,Northern Ireland,Coleraine (Nir)
Cork City FC,4936d1b7,Ireland,Cork City (Irl)
Crusaders FC,0b6cd7c6,Northern Ireland,Crusaders (Nir)
CS Fola Esch,aa065002,Luxembourg,Fola (Lux)
CS Marítimo,c1b0f61b,Portugal,Maritimo (Por)
CS Pandurii Târgu Jiu,46554cb7,Romania,Pandurii (Rou)
CS Universitatea Craiova,1eebf7c3,Romania,U Craiova (Rou)
Debreceni VSC,e24ac92e,Hungary,Debrecen (Hun)
Derry City FC,15f9a98b,Ireland,Derry City (Nir)
Diósgyőri VTK,e4babb95,Hungary,DVTK (Hun)
Djurgårdens IF,9423c05a,Sweden,Djurgarden (Swe)
Dundalk FC,e4a9d483,Ireland,Dundalk (Irl)
Eintracht Frankfurt,f0ac8ee6,Germany,Eintracht Frankfurt||Eintracht Frankfurt (Ger)
En Avant de Guingamp,d41b5f53,France,Guingamp
Ermis Aradippou,5ac58233,Cyprus,Ermis (Cyp)
Esbjerg fB,31aa0dd4,Denmark,Esbjerg (Den)
Europa FC,75cd4ee3,Gibraltar,Europa FC||Europa FC (Gib)
Everton FC,d3fd31cc,England,Everton||Everton (Eng)
F91 Dudelange,baae133b,Luxembourg,Dudelange (Lux)
FC Admira Wacker Mödling,d7d06475,Austria,Admira (Aut)
FC Aktobe,c8282e20,Kazakhstan,Aktobe (Kaz)
FC Ararat-Armenia,85dbecd4,Armenia,Ararat-Armenia (Arm)
FC Arouca,0d36ddd4,Portugal,Arouca (Por)
FC Arsenal Tula,0bca3a9e,Russia,Arsenal Tula (Rus)
FC Astana,c72c8787,Kazakhstan,FC Astana||FC Astana (Kaz)
FC Astra Giurgiu,12d53956,Romania,Astra||Astra (Rou)
FC Augsburg,0cdc4311,Germany,Augsburg
FC Banants,f0e1ca42,Armenia,Urartu (Arm)
FC Barcelona,206d90db,Spain,Barcelona
FC Basel,d3d9424a,Switzerland,Basel||Basel (Sui)
FC BATE Borisov,b983b638,Belarus,BATE||BATE (Blr)
FC Bayern Munich,054efa67,Germany,Bayern Munich
FC Botoșani,d921c99f,Romania,FC Botosani (Rou)
FC Chikhura Sachkhere,e839c85b,Georgia,Chikhura (Geo)
FC Chornomorets Odesa,cdd0bbb6,Ukraine,Ch. Odessa (Ukr)
FC Copenhagen,18050b20,Denmark,FC Copenhagen||FC Copenhagen (Den)
FC DAC 1904 Dunajská Streda,b11bfada,Slovakia,Dun. Streda (Svk)
FC Dacia Chișinău,3cb9ad76,Moldova,Dacia Chisinau (Mda)
FC Daugava,2fc6183e,Latvia,FC Daugava (Lat)
FC Differdange 03,58ff3cd4,Luxembourg,Differdange (Lux)
FC Dila Gori,ae098b55,Georgia,Dila Gori (Geo)
FC Dinamo Batumi,840ff2b7,Georgia,Dinamo Batumi (Geo)
FC Dinamo Brest,31742d51,Belarus,Brest (Blr)
FC Dinamo București,4472d406,Romania,Din. Bucuresti (Rou)
FC Dinamo Minsk,e2a78c9d,Belarus,Din. Minsk (Blr)
FC Dinamo Tbilisi,e2fa043d,Georgia,Dinamo Tbilisi (Geo)
FC Dnipro,c4770a69,Ukraine,Dnipro||Dnipro (Ukr)
FC Dunav Ruse,97171221,Bulgaria,Dunav Ruse (Bul)
FC Dynamo Kyiv,c734e22f,Ukraine,Dyn. Kyiv||Dyn. Kyiv (Ukr)
FC Dynamo Moscow,541a280b,Russia,Dynamo Moscow||Dynamo Moscow (Rus)
FC Flora,719d83f1,Estonia,Flora (Est)
FC Girondins de Bordeaux,123f3efe,France,Bordeaux (Fra)
FC Groningen,bec05adb,Netherlands,Groningen (Ned)
FC Honka,c3071553,Finland,Honka (Fin)
FC Ilves,acffac85,Finland,Ilves (Fin)
FC Infonet,82d952b5,Estonia,Infonet Tallinn (Est)
FC Inter Turku,e9fa2e8b,Finland,Inter Turku (Fin)
FC Irtysh Pavlodar,db5a37c5,Kazakhstan,Ertis Pavlodar (Kaz)
FC Kairat,768fb565,Kazakhstan,K. Almaty (Kaz)
FC Koper,253fffc4,Slovenia,Koper (Slo)
FC Krasnodar,fa11a9cc,Russia,Krasnodar||Krasnodar (Rus)
FC Lahti,5b8cfb05,Finland,Lahti (Fin)
FC Levadia Tallinn,112c9642,Estonia,Levadia (Est)
FC Lokomotiv Moscow,5a8dc328,Russia,Lokomotiv Moscow||Lokomotiv Moscow (Rus)
FC Lusitanos,857b60c3,Andorra,Lusitanos (And)
FC Luzern,d423a378,Switzerland,Luzern (Sui)
FC Mariupol,42b37a13,Ukraine,Mariupol (Ukr)
FC Metalist Kharkiv,44ef020f,Ukraine,Metalist Kharkiv (Ukr)
FC Midtjylland,3c4fb635,Denmark,Midtjylland||Midtjylland (Den)
FC Mika,9558d297,Armenia,Mika (Arm)
FC Milsami Orhei,7795f801,Moldova,Milsami (Mda)
FC Neman Grodno,28e7926c,Belarus,Neman (Blr)
FC Nordsjælland,1850e3f9,Denmark,Nordsjaelland (Den)
FC Oleksandriya,797d38d2,Ukraine,Oleksandriya (Ukr)
FC Olimpik Donetsk,4deda092,Ukraine,Olimpik Donetsk (Ukr)
FC Ordabasy,38bfcdf5,Kazakhstan,Ordabasy (Kaz)
FC Petrocub Sărata-Galbenă,ae96366c,Moldova,Petrocub (Mda)
FC Petrolul Ploiești,4f30dd8b,Romania,Petrolul (Rou)
FC Politehnica Iași,c12c3ccf,Romania,Poli Iasi (Rou)
FC Porto,5e876ee6,Portugal,FC Porto||FC Porto (Por)
FC Prishtina,7de37644,Kosovo,Prishtina||Prishtina (Kos)
FC Progrès Niederkorn,ec560e72,Luxembourg,Niedercorn (Lux)
FC Pyunik,03022534,Armenia,Pyunik Yerevan (Arm)
FC Red Bull Salzburg,50f2a074,Austria,Salzburg||Salzburg (Aut)
FC Rostov,d60423ef,Russia,FK Rostov||FK Rostov (Rus)
FC Rubin Kazan,5625a7da,Russia,Rubin Kazan (Rus)
FC Saburtalo Tbilisi,672ebb3d,Georgia,Saburtalo Tbilisi (Geo)
FC Samtredia,b8b2d55e,Georgia,Samtredia (Geo)
FC Santa Coloma,9549dc95,Andorra,FC Santa Coloma (And)
FC Santos Tartu,0d984553,Estonia,Santos Tartu (Est)
FC Saxan,8c424f8f,Moldova,Saxan Gagauz Yeri (Mda)
FC Schalke 04,c539e393,Germany,Schalke
FC Shakhtar Donetsk,e89d5a28,Ukraine,Shakhtar Donetsk||Shakhtar Donetsk (Ukr)
FC Shakhter Karagandy,a8ba56e5,Kazakhstan,Shakhtar Karagandy (Kaz)
FC Shakhtyor Soligorsk,7517d495,Belarus,Shakhtyor Soligorsk (Blr)
FC Sheriff Tiraspol,50995c1e,Moldova,Sheriff Tiraspol (Mda)
FC Shirak,8771d9cd,Armenia,Shirak Gyumri (Arm)
FC Sion,2eaa8331,Switzerland,Sion||Sion (Sui)
FC Sioni Bolnisi,88ee782c,Georgia,Bolnisi (Geo)
FC Slovan Liberec,2c9bebcd,Czech Republic,Liberec (Cze)
FC Spartak Moscow,8c635914,Russia,Spartak Moscow||Spartak Moscow (Rus)
FC Spartak Trnava,c16f1fe7,Slovakia,Trnava (Svk)
FC Spartaki Tskhinvali,e6561daf,Georgia,Tskhinvali (Geo)
FC St. Gallen,cdaf4e6d,Switzerland,St. Gallen (Sui)
FC Stumbras,31ef340d,Lithuania,Stumbras (Ltu)
FC Thun,9ae758c2,Switzerland,Thun (Sui)
FC Tiraspol,6e8ad38a,Moldova,FC Tiraspol (Mda)
FC Tobol,8c6383a1,Kazakhstan,Tobol (Kaz)
FC Torpedo Kutaisi,231f4a61,Georgia,Torpedo Kutaisi (Geo)
FC Torpedo-BelAZ Zhodino,f7e8060a,Belarus,Zhodino (Blr)
FC Twente,a1f721d3,Netherlands,Twente (Ned)
FC Ufa,ec7fdeb7,Russia,Ufa (Rus)
FC Utrecht,2a428619,Netherlands,Utrecht (Ned)
FC Vaduz,b1b46fc3,Liechtenstein,Vaduz (Lie)
FC Veris Chișinău,33a249c1,Moldova,Veris Chisinau (Mda)
FC Viitorul Constanța,4fffe901,Romania,Viitorul Constanta (Rou)
FC Viktoria Plzeň,02cd81bf,Czech Republic,Plzen||Plzen (Cze)
FC Vitebsk,3f2bd811,Belarus,Vitebsk (Blr)
FC Vorskla Poltava,99f258c2,Ukraine,Vorskla Poltava (Ukr)
FC Zaria Bălți,99a0526b,Moldova,Zaria Balti (Mda)
FC Zenit Saint Petersburg,98ce363d,Russia,Zenit||Zenit (Rus)
FC Zestafoni,c1322cab,Georgia,Zestafoni (Geo)
FC Zimbru Chișinău,24cd860c,Moldova,Zimbru Chisinau (Mda)
FC Zorya Luhansk,946a30cb,Ukraine,FK Zorya Luhansk (Ukr)
FC Zürich,22a5a99c,Switzerland,Zurich||Zurich (Sui)
FCSB,aed59852,Romania,FCSB||FCSB (Rou)
Fenerbahçe SK,ae1e2d7d,Turkey,Fenerbahce||Fenerbahce (Tur)
Ferencvárosi TC,6611f992,Hungary,Ferencvaros (Hun)
Feyenoord Rotterdam,fb4ca611,Netherlands,Feyenoord||Feyenoord (Ned)
Fimleikafélag Hafnarfjarðar,9ac2ced1,Iceland,Hafnarfjordur (Ice)
FK AS Trenčín,d8b8c85b,Slovakia,Trencin (Svk)
FK Atlantas,d7478aa0,Lithuania,Atlantas (Ltu)
FK Austria Wien,ee0bccc5,Austria,Austria Vienna (Aut)
FK Banga Gargždai,34cc3f19,Lithuania,Banga (Ltu)
FK Bokelj,9bc3bc52,Montenegro,Bokelj (Mne)
FK Budućnost Podgorica,f4f98e1c,Montenegro,Buducnost (Mne)
FK Čelik Nikšić,738cdee0,Montenegro,Celik Niksic (Mne)
FK Čukarički,42e847bc,Serbia,Cukaricki (Srb)
FK Daugava,56b555e4,Latvia,Daugava Riga (Lat)
FK Ekranas,3ca079d2,Lithuania,Ekranas (Ltu)
FK Haugesund,f4bbcd04,Norway,Haugesund (Nor)
FK Jablonec,8424bb18,Czech Republic,Jablonec (Cze)
FK Jagodina,e5cd7bb3,Serbia,Jagodina (Srb)
FK Jelgava,8a898dad,Latvia,Jelgava (Lat)
FK Kauno Žalgiris,3b8af0c2,Lithuania,Kauno Zalgiris (Ltu)
FK Kruoja Pakruojis,2471f5fa,Lithuania,Kruoja (Ltu)
FK Kukësi,f1e85b1e,Albania,Kukesi (Alb)
FK Liepāja,54f29d7b,Latvia,FK Liepaja (Lat)
FK Lovćen,a7dfc896,Montenegro,Lovcen (Mne)
FK Makedonija Gjorče Petrov,5130dd3e,North Macedonia,Makedonija GP (Mkd)
FK Metalurg Skopje,fd36fea1,North Macedonia,Met. Skopje (Mkd)
FK Mladá Boleslav,70c92f33,Czech Republic,Mlada Boleslav (Cze)
FK Mladost Lučani,9db96189,Serbia,Mladost (Srb)
FK Olimpic,63bc42eb,Bosnia and Herzegovina,Olimpic Sarajevo (Bih)
FK Partizan,dde3e804,Serbia,Partizan||Partizan (Srb)
FK Partizani Tirana,3ba2fddf,Albania,Partizani (Alb)
FK Pelister,6d2aac76,North Macedonia,Pelister (Mkd)
FK Rabotnički,4ebc9920,North Macedonia,Rabotnicki (Mkd)
FK Radnički Niš,72804f2b,Serbia,Radnicki Nis (Srb)
FK Radnik Bijeljina,7e4fae05,Bosnia and Herzegovina,Radnik Bijeljina (Bih)
FK Renova,623ecff4,North Macedonia,Renova (Mkd)
FK Rīgas Futbola skola,7c90642e,Latvia,RFS (Lat)
FK Riteriai,49a61d12,Lithuania,Riteriai||Riteriai (Ltu)
FK Rudar Pljevlja,fe8bc2a6,Montenegro,Rudar (Mne)
FK Sarajevo,fac9957a,Bosnia and Herzegovina,FK Sarajevo (Bih)
FK Shkëndija,c480c810,North Macedonia,Shkendija (Mkd)
FK Shkupi,7416e9cd,North Macedonia,Shkupi (Mkd)
FK Sileks,0a6448a7,North Macedonia,Sileks (Mkd)
FK Sloboda Tuzla,a3548289,Bosnia and Herzegovina,Sloboda (Bih)
FK Spartak Subotica,6d139ec5,Serbia,Sp. Subotica (Srb)
FK Spartaks Jūrmala,654ac5a4,Latvia,Spartaks (Lat)
FK Sūduva Marijampolė,9e3153f3,Lithuania,Suduva (Ltu)
FK Sutjeska Nikšić,55ff3845,Montenegro,Sutjeska (Mne)
FK Turnovo,3927dae8,North Macedonia,Turnovo (Mkd)
FK Vardar,5b47810a,North Macedonia,Vardar (Mkd)
FK Ventspils,869a3b6a,Latvia,Ventspils (Lat)
FK Vojvodina,278db974,Serbia,Vojvodina (Srb)
FK Željezničar Sarajevo,ee945014,Bosnia and Herzegovina,Zeljeznicar (Bih)
FK Zeta,bda134f7,Montenegro,Zeta (Mne)
Flamurtari Vlorë,3d81ccdb,Albania,Flamurtari (Alb)
Floriana FC,9c088d4e,Malta,Floriana (Mlt)
Gabala FK,a1962466,Azerbaijan,Gabala (Aze)
Galatasaray SK,ecd11ca2,Turkey,Galatasaray||Galatasaray (Tur)
Gandzasar Kapan FC,5f2630fb,Armenia,Gandzasar (Arm)
Gap Connah's Quay FC,7d326cbe,Wales,Connahs Q. (Wal)
Getafe CF,7848bd64,Spain,Getafe
GKS Piast Gliwice,ad2649a5,Poland,Piast Gliwice (Pol)
Glenavon FC,b3b6ca5d,Northern Ireland,Glenavon (Nir)
Glentoran FC,eaa4ec68,Northern Ireland,Glentoran (Nir)
GNK Dinamo Zagreb,edd0d381,Croatia,D. Zagreb||D. Zagreb (Cro)
Go Ahead Eagles,e33d6108,Netherlands,G.A. Eagles (Ned)
Grasshopper Club Zürich,7b66a29c,Switzerland,Grasshoppers (Sui)
Győri ETO FC,4149e9fd,Hungary,Gyor (Hun)
Gżira United FC,8ab497d5,Malta,Gzira||Gzira (Mlt)
Hapoel Be'er Sheva FC,133013ee,Israel,H. Beer Sheva||H. Beer Sheva (Isr)
Hapoel Haifa FC,8ff9960d,Israel,Hapoel Haifa (Isr)
Hapoel Ironi Kiryat Shmona FC,4b238d92,Israel,Shmona (Isr)
Hapoel Tel Aviv FC,8bb196a5,Israel,Hapoel Tel Aviv (Isr)
Havnar Bóltfelag,15c5743b,Faroe Islands,HB Torshavn (Fai)
Heart of Midlothian FC,7c77b0bc,Scotland,Hearts (Sco)
Heracles Almelo,c882b88e,Netherlands,Heracles (Ned)
Hertha BSC,2818f8bc,Germany,Hertha Berlin (Ger)
Hibernian FC,f3aacc58,Scotland,Hibernian (Sco)
Hibernians FC,0faf8f33,Malta,Hibernians (Mlt)
HJK Helsinki,d7319d80,Finland,HJK (Fin)
HNK Hajduk Split,6777e16d,Croatia,Hajduk Split (Cro)
HNK Rijeka,25dbe099,Croatia,Rijeka (Cro)
HŠK Zrinjski Mostar,2a6cfcb2,Bosnia and Herzegovina,Zrinjski (Bih)
Hull City AFC,bd8769d1,England,Hull (Eng)
IF Brommapojkarna,bb9e11b2,Sweden,Brommapojkarna (Swe)
IF Elfsborg,50e85bfc,Sweden,Elfsborg (Swe)
ÍF Fuglafjørður,b393ffaf,Faroe Islands,IF Fuglafjordur (Fai)
IFK Göteborg,ef1ab26a,Sweden,Goteborg (Swe)
IFK Mariehamn,c4e86b86,Finland,Mariehamn (Fin)
IFK Norrköping,1d0836d6,Sweden,Norrkoping (Swe)
Internazionale,d609edc0,Italy,Inter||Inter (Ita)
Inverness Caledonian Thistle FC,4463fecb,Scotland,Inverness (Sco)
İstanbul Başakşehir FK,bff39cf5,Turkey,Basaksehir||Basaksehir (Tur)
Íþróttabandalag Vestmannaeyja,e0afb445,Iceland,Vestmannaeyjar (Ice)
Jagiellonia Białystok,4f7b798d,Poland,Jagiellonia (Pol)
Jeunesse Esch,f1849f98,Luxembourg,Jeunesse Esch (Lux)
JK Narva Trans,8a9775ad,Estonia,Narva (Est)
JK Sillamäe Kalev,7bc6abf1,Estonia,Sillamae (Est)
Juventus,e0652b02,Italy,Juventus
KAA Gent,51e5a603,Belgium,Gent||Gent (Bel)
Kapaz PFK,820a1312,Azerbaijan,Kapaz (Aze)
Kardemir Karabükspor,30f3de93,Turkey,Kardemir Karabuk (Tur)
Keşla FK,63866313,Azerbaijan,Keshla (Aze)
KF Drita,77b23ba3,Kosovo,Drita (Kos)
KF Feronikeli,abffa138,Albania,Feronikeli (Kos)
KF Laçi,7a40cd8b,Albania,Laci (Alb)
KF Skënderbeu Korçë,df526548,Albania,Skenderbeu (Alb)
KF Teuta Durrës,2b924bc5,Albania,Teuta (Alb)
KF Tirana,83310fa5,Albania,KF Tirana (Alb)
KF Trepça'89,cc98b556,Kosovo,Trepca 89 (Kos)
KGHM Zagłębie Lubin,3458af25,Poland,Zaglebie (Pol)
KÍ Klaksvík,869753d6,Faroe Islands,Klaksvik||Klaksvik (Fai)
Kilmarnock FC,25f1fd26,Scotland,Kilmarnock (Sco)
KKS Lech Poznań,fdba14df,Poland,Lech Poznan (Pol)
Knattspyrnufélag Reykjavíkur,ae156985,Iceland,KR Reykjavik (Ice)
Knattspyrnufélagið Fram,5a8bd0bd,Iceland,Fram (Ice)
Knattspyrnufélagið Víkingur,ead990c4,Iceland,Vikingur Reykjavik (Ice)
KRC Genk,1e972a99,Belgium,Genk||Genk (Bel)
KS Cracovia,6e7c9b0b,Poland,Cracovia (Pol)
KS Górnik Zabrze,d2f21b23,Poland,Gornik Z. (Pol)
KS Lechia Gdańsk,5d36c8f0,Poland,Lechia Gdansk (Pol)
KS Ruch Chorzów,c39b0fab,Poland,Ruch Chorzow (Pol)
Kuopion PS,e6f63673,Finland,KuPS (Fin)
KV Oostende,95b895fe,Belgium,Oostende (Bel)
LASK Linz,d20821dd,Austria,LASK||LASK (Aut)||LASK Linz (Aut)
Legia Warsaw,a73408a7,Poland,Legia||Legia (Pol)
Leicester City FC,a2d435b3,England,Leicester
Lille OSC,cb188c0c,France,Lille (Fra)
Lillestrøm SK,924759ab,Norway,Lillestrom (Nor)
Lincoln Red Imps FC,2d3c1b6d,Gibraltar,Lincoln Red Imps (Gib)
Linfield FC,4c96013a,Northern Ireland,Linfield (Nir)
Liverpool FC,822bd0ba,England,Liverpool||Liverpool (Eng)
Llandudno FC,63235dc5,Wales,Llandudno (Wal)
Luftëtari Gjirokastër,0e3f0159,Albania,Luftetari Gjirokastra (Alb)
Lyngby BK,713d0672,Denmark,Lyngby (Den)
Maccabi Haifa FC,187832f5,Israel,Maccabi Haifa (Isr)
Maccabi Tel Aviv FC,04c011d8,Israel,Maccabi Tel Aviv (Isr)
Malmö FF,f3d8c8b9,Sweden,Malmo FF||Malmo FF (Swe)
Manchester City FC,b8fd03ef,England,Manchester City||Manchester City (Eng)
Manchester United FC,19538871,England,Manchester Utd||Manchester Utd (Eng)
MFK Košice,f75c6442,Slovakia,VSS Kosice (Svk)
MFK Ružomberok,356c100c,Slovakia,Ruzomberok (Svk)
MKS Arka Gdynia,d51bc6dd,Poland,Arka Gdynia (Pol)
MOL Fehérvár FC,a338349f,Hungary,MOL Fehervar (Hun)
Molde FK,174bd5a0,Norway,Molde||Molde (Nor)
Motherwell FC,9d04848a,Scotland,Motherwell (Sco)
MŠK Žilina,e5dea1f1,Slovakia,Zilina (Svk)
MTK Budapest FC,e44db2c6,Hungary,MTK Budapest (Hun)
Myllykosken Pallo −47,251418b2,Finland,MyPa (Fin)
ND Gorica,e404a61d,Slovenia,ND Gorica (Slo)
Neftchi PFK,d0ab5e26,Azerbaijan,Neftci Baku (Aze)
Newtown AFC,584106a8,Wales,Newtown (Wal)
NK Celje,c56c28b0,Slovenia,Celje (Slo)
NK Domžale,8ac05d3e,Slovenia,Domzale (Slo)
NK Lokomotiva,ea115eb3,Croatia,Lok. Zagreb (Cro)
NK Maribor,2aae7689,Slovenia,Maribor (Slo)
NK Olimpija Ljubljana,8ae75624,Slovenia,O. Ljubljana (Slo)
NK Osijek,57d14db5,Croatia,Osijek (Cro)
NK Rudar Velenje,933ac71c,Slovenia,Rudar (Slo)
NK Široki Brijeg,584d189a,Bosnia and Herzegovina,Siroki Brijeg (Bih)
Nõmme Kalju FC,33afefe1,Estonia,Kalju (Est)
NŠ Mura,43a5e45a,Slovenia,Mura (Slo)
NSÍ Runavík,448e1bb9,Faroe Islands,NSI Runavik (Fai)
Odds BK,b70ec3fa,Norway,Odd (Nor)
OFK Titograd,8dc7bf66,Montenegro,Titograd (Mne)
OGC Nice,132ebc33,France,Nice||Nice (Fra)
Olympiacos FC,2fdb4aef,Greece,Olympiacos Piraeus||Olympiacos Piraeus (Gre)
Olympique de Marseille,5725cc7b,France,Marseille||Marseille (Fra)
Olympique Lyonnais,d53c0b06,France,Lyon||Lyon (Fra)
Osmanlıspor FK,ed6b1d21,Turkey,Osmanlispor||Osmanlispor (Tur)
Östersunds FK,577e2606,Sweden,Ostersunds||Ostersunds (Swe)
Panathinaikos FC,f3a5726c,Greece,Panathinaikos (Gre)
Panionios FC,1ad6cc2c,Greece,Panionios (Gre)
PAOK FC,5a5e7874,Greece,PAOK||PAOK (Gre)
Paris Saint-Germain FC,e2d8892c,France,Paris SG
PAS Giannina,6507d2b8,Greece,Giannina (Gre)
PEC Zwolle,e3db180b,Netherlands,Zwolle (Ned)
PFC Beroe Stara Zagora,ab7b2fe7,Bulgaria,Beroe (Bul)
PFC Botev Plovdiv,e56e174a,Bulgaria,Botev Plovdiv (Bul)
PFC Cherno More Varna,f61e60c9,Bulgaria,Cherno More (Bul)
PFC CSKA Moscow,f0c0c2c2,Russia,CSKA Moscow||CSKA Moscow (Rus)
PFC CSKA Sofia,cbde2682,Bulgaria,CSKA Sofia (Bul)
PFC Levski Sofia,3a7a27c6,Bulgaria,Levski Sofia (Bul)
PFC Litex Lovech,835be610,Bulgaria,Litex Lovech (Bul)
PFC Lokomotiv Plovdiv,e0242ef1,Bulgaria,Lok. Plovdiv (Bul)
PFC Ludogorets Razgrad,488c6ba1,Bulgaria,Ludogorets||Ludogorets (Bul)
PFC Slavia Sofia,b35f18af,Bulgaria,Slavia Sofia (Bul)
PSV Eindhoven,e334d850,Netherlands,PSV||PSV (Ned)
Qarabağ FK,44b65410,Azerbaijan,Qarabag (Aze)
R. Charleroi SC,140e320a,Belgium,Charleroi (Bel)
Racing FC Union Luxembourg,406252ea,Luxembourg,Racing Luxembourg (Lux)
Randers FC,d06bc460,Denmark,Randers FC (Den)
Rangers FC,86b7acd2,Scotland,Rangers||Rangers (Sco)
RB Leipzig,acbb6a5b,Germany,RB Leipzig||RB Leipzig (Ger)
RC Strasbourg Alsace,c0d3eab4,France,Strasbourg (Fra)
RCD Espanyol,a8661628,Spain,Espanyol||Espanyol (Esp)
Real Betis,fc536746,Spain,Betis
Real Madrid CF,53a2f082,Spain,Real Madrid
Real Sociedad,e31d1cd9,Spain,Real Sociedad||Real Sociedad (Esp)
Red Star Belgrade,099c6eb5,Serbia,FK Crvena zvezda||FK Crvena zvezda (Srb)
Riga FC,91cc0413,Latvia,Riga FC (Lat)
Rio Ave FC,eea856da,Portugal,Rio Ave (Por)
RNK Split,27b6696c,Croatia,RNK Split (Cro)
Rosenborg BK,90e37d3a,Norway,Rosenborg (Nor)
Rovaniemen PS,4fea542b,Finland,Rovaniemi (Fin)
Royal Antwerp FC,c2e6b53b,Belgium,Antwerp (Bel)
RSC Anderlecht,08ad393c,Belgium,Anderlecht||Anderlecht (Bel)
S.P. La Fiorita,6de42722,San Marino,La Fiorita (San)
S.P. Tre Fiori,017bcbe4,San Marino,Tre Fiori||Tre Fiori (San)
