hometeam,awayteam,game,season,tie,homewin,draw,awaywin
Real Madrid,Tottenham,1,2011,madrid-tottenham,0.6901675477,0.1986943609,0.1111380914
Tottenham,Real Madrid,2,2011,madrid-tottenham,0.2965608905,0.2529489948,0.4504901146
Real Madrid,Barcelona,1,2011,madrid-barcelona,0.3560278881,0.3033678146,0.34060429729999997
Barcelona,Real Madrid,2,2011,madrid-barcelona,0.5851920396,0.2269534345,0.18785452600000002
Schalke,Manchester Utd,1,2011,schalke-united,0.2657936703,0.29204489699999997,0.44216143280000003
Manchester Utd,Schalke,2,2011,schalke-united,0.612964139,0.23785796120000002,0.1491778998
Basel,Bayern Munich,1,2012,basel-bayern,0.1600241926,0.2494865365,0.5904892708
Bayern Munich,Basel,2,2012,basel-bayern,0.7970024494,0.1321063827,0.07089116797999999
CSKA Moscow,Real Madrid,1,2012,cska-madrid,0.1217953474,0.21355519050000002,0.6646494621
Real Madrid,CSKA Moscow,2,2012,cska-madrid,0.8632879079000001,0.09374301072999999,0.04296908139
Bayer Leverkusen,Barcelona,1,2012,leverkusen-barcelona,0.1019797348,0.1945556005,0.7034646647
Barcelona,Bayer Leverkusen,2,2012,leverkusen-barcelona,0.8443238193000001,0.10542733789999999,0.05024884279
Lyon,APOEL,1,2012,lyon-apoel,0.6524298304,0.2291324798,0.11843768980000001
APOEL,Lyon,2,2012,lyon-apoel,0.3300018238,0.2896346282,0.3803635479
Marseille,Inter,1,2012,marseille-inter,0.4986922148,0.27397817350000003,0.2273296116
Inter,Marseille,2,2012,marseille-inter,0.4846110205,0.2747350161,0.2406539634
AC Milan,Arsenal,1,2012,milan-arsenal,0.4509492774,0.2896004534,0.2594502692
Arsenal,AC Milan,2,2012,milan-arsenal,0.46899448850000003,0.2595531142,0.2714523973
Napoli,Chelsea,1,2012,napoli-chelsea,0.4307537501,0.2880420213,0.2812042286
Chelsea,Napoli,2,2012,napoli-chelsea,0.5839615185,0.22541064309999997,0.1906278384
Zenit Petersburg,Benfica,1,2012,zenit-benfica,0.39999038600000003,0.2981060424,0.3019035716
Benfica,Zenit Petersburg,2,2012,zenit-benfica,0.5476328538,0.2574361043,0.19493104190000002
