season	round	tie	game	minute	away	extra	shootout	note
				40				
				43				
				90+5				
				44	a			
				48	a			
		arsenal-roma	1	37				
			2	9				
				pk	a		arsenal 7-6	
		inter-united	1					
			2	4				
				49				
		villareal-panathinaikos	1	67				
				59	a			
			2	55				
				49	a			
				70	a			
		madrid-liverpool	1	82	a			
			2	16				
				28				
				47				
				88				
		sporting-bayern	1	42	a			
				63	a			
				57	a			
				84	a			
				90+1	a			
			2	7				
				34				
				39				
				43				
				74				
				82				
				90				
				42	a			
		chelsea-juventus	1	12				
			2	19				
				74				
				45+1	a			
				83	a			
	qtr	villareal-arsenal	1	10				
				66	a			
			2	10				
				60				
				69				
		united-porto	1	15				
				85				
				4	a			
				89	a			
			2	6	a			
		liverpool-chelsea	1	6				
				39	a			
				62	a			
				67	a			
			2	51				
				57				
				76				
				89				
				19	a			
				28	a			
				81	a			
				83	a			
		barcelona-bayern	1	9				
				38				
				12				
				43				
			2	47				
				73	a			
	semi	barcelona-chelsea	1					
			2	9				
				90+3	a			
		united-arsenal	1	17				
			2	76				
				8	a			
				11	a			
				61	a			
2008	first	schalke-porto	1	4				
			2	86				
				pk	a		schalke 4-1	
		roma-madrid	1	24				
				58				
				8	a			
			2	75				
				73	a			
				90+2	a			
		olympiacos-chelsea	1					
			2	5				
				25				
				48				
		liverpool-inter	1	85				
				90				
			2	64	a			
		celtic-barcelona	1	16				
				38				
				18	a			
				79	a			
				52	a			
			2	3				
		lyon-united	1	54				
				87	a			
			2	41				
		fenerbahce-sevilla	1	17				
				57				
				87				
				23	a			
				66	a			
			2	6				
				9				
				41				
				21	a			
				80	a			
				pk	a		fenerbahce 3-2	
		arsenal-milan	1					
			2	84	a			
				90+2	a			
	qtr	roma-united	1	39	a			
				66	a			
			2	70				
		schalke-barcelona	1	12	a			
			2	42				
		arsenal-liverpool	1	23				
				26	a			
			2	30				
				69				
				85				
				90+2				
				13	a			
				84	a			
		fenerbahce-chelsea	1	65				
				81				
				13	a			
			2	4				
				87				
	semi	liverpool-chelsea	1	43				
				90+4	a			
			2	33				
				64	a			
				98		et		
				105		et		
				117	a	et		
		barcelona-united	1					
			2	14				
2018	first	juventus-tottenham	1	2				
				9				
				35	a			
				71	a			
			2	39				
				64				
				67				
		basel-city	1	14	a			
				53	a			
				18	a			
				23	a			
			2	8				
				17	a			
				71	a			
		porto-liverpool	1	25	a			
				53	a			
				85	a			
				29	a			
				69	a			
			2					
		sevilla-united	1					
			2	74	a			
				78	a			
				84				
		madrid-psg	1	45				
				83				
				86				
				33	a			
			2	71				
				51	a			
				80	a			
		shakhtar-roma	1	52				
				71				
				41	a			
			2	52	a			
		chelsea-barcelona	1	62				
				75	a			
			2	3				
				63				
				20				
		bayern-besiktas	1	43				
				66				
				53				
				79				
				88				
			2	59				
				18	a			
				46	a			
				84	a			
	qtr	barcelona-roma	1	38				
				55				
				59				
				87				
				80	a			
			2	6				
				58				
				82				
		sevilla-bayern	1	31				
				37	a			
				68	a			
			2					
		juventus-madrid	1	3	a			
				64	a			
				72	a			
			2	2	a			
				37	a			
				61	a			
				90+8				
		liverpool-city	1	12				
				21				
				31				
			2	2				
				56	a			
				77	a			
	semi	bayern-madrid	1	28				
				44	a			
				57	a			
			2	11				
				46				
				3	a			
				63	a			
		liverpool-roma	1	36				
				45+1				
				56				
				61				
				69				
				81	a			
				85	a			
			2	15				
				52				
				86				
				90+4				
				9	a			
				25	a			
2019	first	schalke-city	1	38				
				45				
				18	a			
				85	a			
				90	a			
			2	35				
				38				
				42				
				56				
				71				
				78				
				84				
		atletico-juventus	1	78				
				83				
			2	27				
				48				
				86				
		united-psg	1	53	a			
				60	a			
			2	12				
				2	a			
				30	a			
				90+4	a			
		tottenham-dortmund	1	47				
				83				
				86				
			2	49	a			
		lyon-barcelona	1					
			2	18				
				78				
				31				
				81				
				86				
				58	a			
		roma-porto	1	70				
				76				
				79	a			
			2	26				
				52				
				117		et		
				37	a			
		ajax-madrid	1	75				
				60	a			
				87	a			
			2	70				
				7	a			
				18	a			
				62	a			
				72	a			
		liverpool-bayern	1					
			2	39				
				26	a			
				84	a			
				69	a			
