hometeam,awayteam,season,homewin,draw,awaywin
Barcelona ,Bayer Leverkusen,2012,0.8443238193,0.1054273379,0.05024884279
Arsenal ,AC Milan,2012,0.4689944885,0.2595531142,0.2714523973
Benfica ,Zenit Petersburg,2012,0.5476328538,0.2574361043,0.1949310419
Basel ,Bayern Munich,2012,0.1600241926,0.2494865365,0.5904892708
Marseille ,Inter,2012,0.4986922148,0.2739781735,0.2273296116
Napoli ,Chelsea,2012,0.4307537501,0.2880420213,0.2812042286
CSKA Moscow ,Real Madrid,2012,0.1217953474,0.2135551905,0.6646494621
AC Milan ,Arsenal,2012,0.4509492774,0.2896004534,0.2594502692
Zenit Petersburg ,Benfica,2012,0.399990386,0.2981060424,0.3019035716
Bayer Leverkusen ,Barcelona,2012,0.1019797348,0.1945556005,0.7034646647
Lyon ,APOEL,2012,0.6524298304,0.2291324798,0.1184376898
Manchester Utd ,Schalke,2011,0.612964139,0.2378579612,0.1491778998
Barcelona ,Real Madrid,2011,0.5851920396,0.2269534345,0.187854526
Real Madrid ,Barcelona,2011,0.3560278881,0.3033678146,0.3406042973
Schalke ,Manchester Utd,2011,0.2657936703,0.292044897,0.4421614328
Schalke ,Inter,2011,0.3717486356,0.259407015,0.3688443494
Tottenham ,Real Madrid,2011,0.2965608905,0.2529489948,0.4504901146
Manchester Utd ,Chelsea,2011,0.420812948,0.2860510976,0.2931359545
Shakhtar Donetsk ,Barcelona,2011,0.2406325616,0.2555908019,0.5037766366
Barcelona ,Shakhtar Donetsk,2011,0.7895268649,0.1439866623,0.06648647283
Chelsea ,Manchester Utd,2011,0.449366366,0.2948966777,0.2557369563
Inter ,Schalke,2011,0.5622628837,0.2699298975,0.1678072187
Real Madrid ,Tottenham,2011,0.6901675477,0.1986943609,0.1111380914
Chelsea ,FC Copenhagen,2011,0.7356646726,0.1737913571,0.09054397038
Real Madrid ,Lyon,2011,0.7129402415,0.1837662889,0.1032934696
Bayern Munich ,Inter,2011,0.5404888544,0.2367178629,0.2227932827
Manchester Utd ,Marseille,2011,0.6149845368,0.2416858701,0.1433295931
Schalke ,Valencia,2011,0.3615875277,0.2977108667,0.3407016056
Tottenham ,AC Milan,2011,0.411880065,0.2798828929,0.3082370421
Barcelona ,Arsenal,2011,0.7236966912,0.1645401726,0.1117631361
Shakhtar Donetsk ,AS Roma,2011,0.5377652643,0.2474249193,0.2148098163
Inter ,Bayern Munich,2011,0.3598198324,0.294805657,0.3453745106
Marseille ,Manchester Utd,2011,0.3174402273,0.3041710217,0.378388751
FC Copenhagen ,Chelsea,2011,0.2161656161,0.2922238885,0.4916104954
Lyon ,Real Madrid,2011,0.2216642047,0.2753030647,0.5030327306
Arsenal ,Barcelona,2011,0.2420441841,0.2497078522,0.5082479637
AS Roma ,Shakhtar Donetsk,2011,0.4320314171,0.2929253261,0.2750432568
AC Milan ,Tottenham,2011,0.5563181053,0.2575890314,0.1860928633
Valencia ,Schalke,2011,0.5634432407,0.2565685535,0.1799882058
Barcelona ,Inter,2010,0.6739939101,0.1853814291,0.1406246608
Lyon ,Bayern Munich,2010,0.3959464989,0.2799740037,0.3240794974
Bayern Munich ,Lyon,2010,0.5693465486,0.2564990887,0.1741543628
Inter ,Barcelona,2010,0.3025718547,0.2922675501,0.4051605952
Bordeaux ,Lyon,2010,0.4590254956,0.2797611009,0.2612134036
Manchester Utd ,Bayern Munich,2010,0.5470307638,0.2445279825,0.2084412538
Barcelona ,Arsenal,2010,0.7050753881,0.1806686326,0.1142559793
CSKA Moscow ,Inter,2010,0.2861811965,0.2897034266,0.4241153768
Arsenal ,Barcelona,2010,0.3147675013,0.2791687958,0.4060637029
Inter ,CSKA Moscow,2010,0.6695420002,0.2215832064,0.1088747935
Bayern Munich ,Manchester Utd,2010,0.3069417966,0.2945497365,0.398508467
Lyon ,Bordeaux,2010,0.4576853411,0.2974232816,0.2448913773
Barcelona ,Stuttgart,2010,0.7793788634,0.1513807199,0.0692404167
Bordeaux ,Olympiakos Piraeus,2010,0.6185406067,0.2394457643,0.142013629
Chelsea ,Inter,2010,0.5942511495,0.24378326,0.1619655905
Sevilla ,CSKA Moscow,2010,0.6095610386,0.2446851518,0.1457538096
Manchester Utd ,AC Milan,2010,0.5528988603,0.2554123545,0.1916887853
Real Madrid ,Lyon,2010,0.7348462112,0.1714005629,0.09375322582
Arsenal ,FC Porto,2010,0.5918525913,0.2476065966,0.1605408122
Fiorentina ,Bayern Munich,2010,0.3286220524,0.2813949311,0.3899830165
Inter ,Chelsea,2010,0.3633208363,0.3119300601,0.3247491036
CSKA Moscow ,Sevilla,2010,0.3609047566,0.3001810992,0.3389141442
Olympiakos Piraeus ,Bordeaux,2010,0.3160918364,0.3058623272,0.3780458364
Stuttgart ,Barcelona,2010,0.1628925878,0.2481766652,0.588930747
Bayern Munich ,Fiorentina,2010,0.6716193016,0.2147104566,0.1136702417
FC Porto ,Arsenal,2010,0.4071152531,0.2982951383,0.2945896086
AC Milan ,Manchester Utd,2010,0.3298767702,0.3073851722,0.3627380576
Lyon ,Real Madrid,2010,0.2402640619,0.2852682064,0.4744677317
Chelsea ,Barcelona,2009,0.346884198,0.2816492593,0.3714665427
Arsenal ,Manchester Utd,2009,0.3492669211,0.2866324276,0.3641006513
Manchester Utd ,Arsenal,2009,0.5402991739,0.2697774801,0.189923346
Barcelona ,Chelsea,2009,0.560048879,0.2614059351,0.1785451859
Arsenal ,Villarreal,2009,0.6334217262,0.2330673018,0.133510972
FC Porto ,Manchester Utd,2009,0.2731825246,0.2780176135,0.4487998619
Bayern Munich ,Barcelona,2009,0.3356336186,0.2664210362,0.3979453452
Chelsea ,Liverpool,2009,0.4023605411,0.2879277266,0.3097117323
Barcelona ,Bayern Munich,2009,0.6864390076,0.2028784652,0.1106825272
Liverpool ,Chelsea,2009,0.4295408349,0.3171106835,0.2533484817
Manchester Utd ,FC Porto,2009,0.6731336092,0.221217618,0.1056487727
Villarreal ,Arsenal,2009,0.3231445723,0.3053663919,0.3714890358
AS Roma ,Arsenal,2009,0.3772839749,0.2929223408,0.3297936843
Barcelona ,Lyon,2009,0.6821419139,0.2126913899,0.1051666961
FC Porto ,Atl. Madrid,2009,0.4524221321,0.2817479146,0.2658299533
Manchester Utd ,Inter,2009,0.5752601254,0.2681865386,0.156553336
Bayern Munich ,Sporting,2009,0.547162738,0.2672741465,0.1855631155
Juventus ,Chelsea,2009,0.3579373482,0.3046521766,0.3374104752
Liverpool ,Real Madrid,2009,0.4141087646,0.2984212367,0.2874699987
Panathinaikos ,Villarreal,2009,0.3580350088,0.297044818,0.3449201733
Chelsea ,Juventus,2009,0.5404144254,0.2877632404,0.1718223341
Real Madrid ,Liverpool,2009,0.4844626777,0.2919307729,0.2236065494
Sporting ,Bayern Munich,2009,0.3435945261,0.297133631,0.3592718429
Villarreal ,Panathinaikos,2009,0.561072898,0.2678281652,0.1710989368
Arsenal ,AS Roma,2009,0.4812078381,0.2940522375,0.2247399244
Atl. Madrid ,FC Porto,2009,0.4620631563,0.2900793154,0.2478575283
Inter ,Manchester Utd,2009,0.3864082434,0.3142787046,0.299313052
Lyon ,Barcelona,2009,0.2554846342,0.2752542785,0.4692610873
Chelsea ,Liverpool,2008,0.437620964,0.3069030137,0.2554760222
Manchester Utd ,Barcelona,2008,0.4718772827,0.292184076,0.2359386413
Barcelona ,Manchester Utd,2008,0.3365031768,0.3784163839,0.2850804393
Liverpool ,Chelsea,2008,0.504974271,0.3293310463,0.1656946827
Barcelona ,Schalke,2008,0.6582699708,0.2218842622,0.1198457671
Manchester Utd ,AS Roma,2008,0.5479121194,0.2655036339,0.1865842467
Chelsea ,Fenerbahce,2008,0.7378640415,0.1742709681,0.08786499042
Liverpool ,Arsenal,2008,0.4043585024,0.3134456847,0.2821958129
Arsenal ,Liverpool,2008,0.3547223323,0.4656642963,0.1796133714
Fenerbahce ,Chelsea,2008,0.1379402514,0.2766122814,0.5854474672
AS Roma ,Manchester Utd,2008,0.3017524398,0.3127434227,0.3855041374
Schalke ,Barcelona,2008,0.08015193409,0.2934886609,0.626359405
Inter ,Liverpool,2008,0.4724202697,0.296581423,0.2309983073
Chelsea ,Olympiakos Piraeus,2008,0.7452265514,0.1830003683,0.07177308024
