minuteclean,v1,v2.1,v2.2,v3
201,-13.893566548084772,-13.139595949252087,-12.962665509761612,-6.108951942739848
202,-13.901824173048839,-13.109732777404151,-13.462159854879582,-6.2680435040431846
203,-13.60670345651673,-12.570877891439823,-13.20985791033714,-5.537401160855797
204,-13.64455510114516,-13.578249253135917,-13.487264991026448,-5.524938330993957
205,-13.683493434288058,-14.127085077335499,-13.648226512011103,-5.5332631872793305
206,-13.723538864542286,-14.459620342699441,-13.941799626684265,-5.546016407727993
207,-11.526450691122005,-11.717964571561758,-12.1219871634576,-5.5571529617912345
208,-11.487362531832678,-11.529436772559743,-12.241017737950017,-5.58300071551552
209,-8.503811183937737,-8.654606846754827,-9.10542480875508,-4.874632954420556
210,-6.482346195181152,-5.9809440068543855,-5.765633431366675,0
0,,,,-119.0629225230778
