version,predset,minuteclean,rmserror
v1,predictions,116,0.3379370977533772
v1,predictions,117,0.3333516309651213
v1,predictions,118,0.3331416037941046
v1,predictions,119,0.33169748127411164
v1,predictions,120,0.332326248354713
v1,predictions,121,0.3301291083544586
v1,predictions,122,0.33003862829590885
v1,predictions,123,0.32774265973978706
v1,predictions,124,0.32444883531845803
v1,predictions,125,0.3226363891133681
v1,predictions,126,0.32145377895536015
v1,predictions,127,0.3216163804997792
v2.1,predictions,128,0.3163958245281976
v2.1,predictions,129,0.3164834128665165
v2.1,predictions,130,0.31666285535671124
v2.1,predictions,131,0.31590237398496746
v2.1,predictions,132,0.3140209491912922
v2.1,predictions,133,0.3152940084274399
v2.1,predictions,134,0.3167871606520646
v2.1,predictions,135,0.31587007207590395
v2.1,predictions,136,0.31581038947619366
v2.1,predictions,137,0.31585611646234896
v2.1,predictions,138,0.31079960672783863
v2.1,predictions,139,0.3112722673793144
v2.1,predictions,140,0.3125370027212357
v2.1,predictions,141,0.30930737165491584
v2.1,predictions,142,0.30911538319995746
v2.1,predictions,143,0.3038076017355882
v2.1,predictions,144,0.3061871595886078
v2.1,predictions,145,0.30339960660120713
v2.1,predictions,146,0.3033989918253687
v2.1,predictions,147,0.30556024166578116
v2.1,predictions,148,0.30552842536986463
v2.1,predictions,149,0.30029400983961896
v2.1,predictions,150,0.2997020081108423
v2.1,predictions,151,0.2978352901128511
v2.1,predictions,152,0.2954883746876375
v2.1,predictions,153,0.2946742561187808
v2.1,predictions,154,0.29839320704653366
v2.1,predictions,155,0.2951496546618964
v2.2,predictions,156,0.29193622516151146
v2.2,predictions,157,0.28851353556028697
v2.2,predictions,158,0.28322875242754203
v2.2,predictions,159,0.2882204820934359
v2.2,predictions,160,0.288281953825749
v2.2,predictions,161,0.28756071368633723
v2.2,predictions,162,0.2918560956571044
v2.2,predictions,163,0.28091740941640014
v2.2,predictions,164,0.26978699016477736
v2.2,predictions,165,0.26946027104687026
v2.2,predictions,166,0.2701779223802989
v2.2,predictions,167,0.26544791324094624
v2.2,predictions,168,0.2663057829770482
v2.2,predictions,169,0.26417546203913855
v2.2,predictions,170,0.24363078017008666
v2.2,predictions,171,0.2466037834861857
v2.2,predictions,172,0.24061358540346522
v2.2,predictions,173,0.2361828500606507
v2.2,predictions,174,0.23951736122388387
v2.2,predictions,175,0.23615355089314533
v2.2,predictions,176,0.2363499544467052
v2.2,predictions,177,0.22596239337283225
v2.2,predictions,178,0.2243959855673754
v2.2,predictions,179,0.2274543348281182
v1,predictions,181,0.49621930233922873
v1,predictions,182,0.4895580805598634
v3,predictions,183,0.5099321491996851
v3,predictions,184,0.5068140818042711
v3,predictions,185,0.506445349699542
