minuteclean,v1,v2.1,v2.2,v3
63,0.3738542071819467,0.3731233096353219,0.42788581446919516,0.3738328379574909
64,0.36691672965340666,0.36643550964286903,0.42160131149877095,0.3678245874200892
65,0.36417944430737775,0.3634656002077975,0.4194182538358393,0.36503557895038174
66,0.36471240042818365,0.3643315299501643,0.4176990985150789,0.36560215968828547
67,0.3607086084313245,0.36042602011292113,0.41331915812275916,0.36102659934174164
68,0.3596333630534678,0.35972986966059717,0.41125098943707616,0.3599526152637611
69,0.361713471687834,0.3623319931766765,0.41122828560252517,0.36202583182521075
70,0.3592471856322124,0.35988932481521224,0.40933420573685414,0.35959754811058536
71,0.3576035158193341,0.35765140029265746,0.4053569465392281,0.3576808372806471
72,0.357463067694921,0.3570886553773987,0.40536765600392505,0.35742435167824527
73,0.3579301371078021,0.35726993233046633,0.40486009883422946,0.35533697082200427
74,0.3585505375556263,0.35763420733043,0.40368070107276743,0.3558245734028283
75,0.35196698690121125,0.3520841777930797,0.3986039194462544,0.3505700908036781
76,0.35335607081241627,0.35416207425144486,0.3998175444034348,0.3517898119234599
77,0.3520408180128983,0.35264267978787545,0.3970469922788872,0.35056018966216185
78,0.35112815981087314,0.35208839704577705,0.3933894808272247,0.3485628619704843
79,0.3495582947387227,0.35101788189941585,0.3918739108626808,0.3473642824971047
80,0.3483961120826332,0.35011127779161116,0.389540976495051,0.3460959918768648
81,0.34902685456121535,0.35035003260130687,0.389541216773513,0.34706889940030616
82,0.3487822343717512,0.34920435025934754,0.38708307907358164,0.34615561031815195
83,0.34922756198726695,0.34942398936197466,0.3875870947586738,0.346331886330793
84,0.3474766749554187,0.34814937324603434,0.38560125743415585,0.34511201919069356
85,0.3476499947417031,0.3480202162504386,0.3859297815715159,0.34445040300847757
86,0.3444324689982577,0.3456822853084671,0.3822379178250341,0.342439651635197
87,0.3443648522942653,0.34549076641201293,0.38147718401503716,0.3423454596565805
88,0.34874823781312364,0.34970081707081,0.3840750873294734,0.3473856885686261
