predset,minuteclean,loglik
predictions,154,-61.57332718468804
predictions,155,-60.015508592957545
predictions,156,-59.00323689000828
predictions,157,-58.17128056103604
predictions,158,-55.37784823307175
predictions,159,-53.84906255328917
predictions,160,-53.42228684373257
predictions,161,-53.006929151122236
predictions,162,-53.9817448714009
predictions,163,-51.08197981354989
predictions,164,-47.719896228803144
predictions,165,-47.580881447021056
predictions,166,-47.72523618957933
predictions,167,-46.698695989016535
predictions,168,-47.167100280894125
predictions,169,-46.317684988762764
predictions,170,-39.968831821906825
predictions,171,-40.69290558841541
predictions,172,-38.875099969805866
predictions,173,-37.59585578602727
predictions,174,-38.19413488116684
predictions,175,-38.00332325641098
predictions,176,-38.01902245869626
predictions,177,-36.19823525048011
predictions,178,-36.16910747849245
predictions,179,-35.91710265473431
predictions,180,-24.126256064728434
predictions,181,-8.475444400539669
predictions,182,-8.132549232813233
predictions,183,-8.11334648819539
predictions,184,-7.58283543403528
predictions,185,-7.564518277945594
predictions,186,-7.385951140581285
predictions,187,-7.365485208615901
predictions,188,-7.345223597032917
predictions,189,-7.3251819227449815
predictions,190,-6.71338764692668
predictions,191,-6.697547100296588
predictions,192,-6.271386398617135
predictions,193,-6.256857122752338
predictions,194,-6.2427245955393325
predictions,195,-5.561609620388196
predictions,196,-5.542817217133596
predictions,197,-5.610917959177248
predictions,198,-5.853322327708895
predictions,199,-5.827474617418564
predictions,200,-5.802018237501455
predictions,201,-4.957786586011017
predictions,202,-4.744080634440702
predictions,203,-4.73104202472311
predictions,204,-4.719102944097331
predictions,205,-4.707760667088788
predictions,206,-4.697028573187227
predictions,207,-4.686920230367516
predictions,208,-4.624706956488374
predictions,209,-4.617112218259372
predictions,210,-4.610169317316031
training,1,-588.7684689498691
training,2,-587.1572535030351
training,3,-583.9774265448501
training,4,-580.8631419799599
training,5,-577.7560035048442
training,6,-577.761367702291
training,7,-575.8008623536805
training,8,-576.4772693601708
training,9,-575.0945689082101
training,10,-574.8403868101342
training,11,-573.9536960362083
training,12,-571.2996281505739
training,13,-566.6823278829785
training,14,-563.6200236004302
training,15,-561.5958577765382
training,16,-562.2674864069551
training,17,-562.5830518406723
training,18,-561.148586044106
training,19,-558.8354465466226
training,20,-557.9186393289874
training,21,-558.4529139463002
training,22,-556.7712340708987
training,23,-553.4780672139436
training,24,-550.6518639538656
training,25,-547.9064544729918
training,26,-547.1695688381101
training,27,-546.8192096919727
training,28,-545.0511564766531
training,29,-543.3371449282315
training,30,-540.1854979817103
training,31,-538.0528807488465
training,32,-534.4754121246831
training,33,-533.9768936012797
training,34,-532.6627052520258
training,35,-532.1955115345972
training,36,-529.965320479509
training,37,-526.104847881013
training,38,-525.9900625648878
training,39,-529.9382041450974
training,40,-529.2887091368888
training,41,-528.357889658173
training,42,-525.2153046795223
training,43,-523.3860547658317
training,44,-517.6711639255717
training,45,-516.0894938904158
training,46,-514.2178362732916
training,47,-514.6557757151434
training,48,-512.833130246693
